link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA299372_Aythya-marila	SRR2752424	sample34	dummy	BioSample: SAMN04201307; Sample name: JJW748; SRA: SRS1126037	isolate: JJW748; breed: wild	SINGLE	421423	311006
PRJNA299372_Aythya-marila	SRR2752425	sample35	dummy	BioSample: SAMN04201308; Sample name: JJW766; SRA: SRS1126036	isolate: JJW766; breed: wild	SINGLE	358968	262662
PRJNA299372_Aythya-marila	SRR2752426	sample36	dummy	BioSample: SAMN04201309; Sample name: JJW767; SRA: SRS1126035	isolate: JJW767; breed: wild	SINGLE	402555	275171
PRJNA299372_Aythya-marila	SRR2752427	sample37	dummy	BioSample: SAMN04201310; Sample name: KGM-865; SRA: SRS1126034	isolate: KGM-865; breed: wild	SINGLE	401575	256814
PRJNA299372_Aythya-marila	SRR2752428	sample38	dummy	BioSample: SAMN04201311; Sample name: UAMX2248; SRA: SRS1126033	isolate: UAMX2248; breed: wild	SINGLE	374174	244047
PRJNA299372_Aythya-marila	SRR2752429	sample39	dummy	BioSample: SAMN04201312; Sample name: UAMX4630; SRA: SRS1126032	isolate: UAMX4630; breed: wild	SINGLE	495281	337154
PRJNA299372_Aythya-marila	SRR2752430	sample40	dummy	BioSample: SAMN04201313; Sample name: UAMX5037; SRA: SRS1126031	isolate: UAMX5037; breed: wild	SINGLE	508082	346290
PRJNA299372_Aythya-marila	SRR2752431	sample41	dummy	BioSample: SAMN04201314; Sample name: UAMX5076; SRA: SRS1126030	isolate: UAMX5076; breed: wild	SINGLE	414574	281095
PRJNA299372_Aythya-marila	SRR2752432	sample42	dummy	BioSample: SAMN04201315; Sample name: UAMX5077; SRA: SRS1126029	isolate: UAMX5077; breed: wild	SINGLE	421460	281989
PRJNA299372_Aythya-marila	SRR2752433	sample43	dummy	BioSample: SAMN04201316; Sample name: UAMX5643; SRA: SRS1126028	isolate: UAMX5643; breed: wild	SINGLE	329712	250618
PRJNA299372_Aythya-marila	SRR2752434	sample44	dummy	BioSample: SAMN04201317; Sample name: UAMX5644; SRA: SRS1126027	isolate: UAMX5644; breed: wild	SINGLE	389510	288044
PRJNA299372_Aythya-marila	SRR2752435	sample45	dummy	BioSample: SAMN04201318; Sample name: UAMX5974; SRA: SRS1126026	isolate: UAMX5974; breed: wild	SINGLE	431414	318674
PRJNA299372_Aythya-marila	SRR2752436	sample46	dummy	BioSample: SAMN04201319; Sample name: KSW5380; SRA: SRS1126025	isolate: KSW5380; breed: wild	SINGLE	458826	328284
PRJNA299372_Aythya-marila	SRR2752437	sample47	dummy	BioSample: SAMN04201320; Sample name: KSW5385; SRA: SRS1126024	isolate: KSW5385; breed: wild	SINGLE	513324	355250
PRJNA299372_Aythya-marila	SRR2752438	sample48	dummy	BioSample: SAMN04201321; Sample name: KSW5392; SRA: SRS1126023	isolate: KSW5392; breed: wild	SINGLE	463562	286129
PRJNA299372_Aythya-marila	SRR2752439	sample49	dummy	BioSample: SAMN04201322; Sample name: KSW5394; SRA: SRS1126022	isolate: KSW5394; breed: wild	SINGLE	616846	392263
PRJNA299372_Aythya-marila	SRR2752440	sample50	dummy	BioSample: SAMN04201323; Sample name: KSW5395; SRA: SRS1126021	isolate: KSW5395; breed: wild	SINGLE	616182	395856
PRJNA299372_Aythya-marila	SRR2752441	sample51	dummy	BioSample: SAMN04201324; Sample name: KSW5396; SRA: SRS1126020	isolate: KSW5396; breed: wild	SINGLE	484210	348102
PRJNA299372_Aythya-marila	SRR2752442	sample52	dummy	BioSample: SAMN04201325; Sample name: UWBM43969; SRA: SRS1126019	isolate: UWBM43969; breed: wild	SINGLE	453908	337479
PRJNA299372_Aythya-marila	SRR2752443	sample53	dummy	BioSample: SAMN04201326; Sample name: UWBM44483; SRA: SRS1126018	isolate: UWBM44483; breed: wild	SINGLE	512723	383552
PRJNA299372_Aythya-marila	SRR2752444	sample54	dummy	BioSample: SAMN04201327; Sample name: UWBM59568; SRA: SRS1126017	isolate: UWBM59568; breed: wild	SINGLE	440148	311531
PRJNA299372_Aythya-marila	SRR2752445	sample55	dummy	BioSample: SAMN04201328; Sample name: UWBM59577; SRA: SRS1126016	isolate: UWBM59577; breed: wild	SINGLE	863762	596584
PRJNA299372_Aythya-marila	SRR2752446	sample56	dummy	BioSample: SAMN04201329; Sample name: UWBM59582; SRA: SRS1126015	isolate: UWBM59582; breed: wild	SINGLE	1028756	596297
PRJNA299372_Aythya-marila	SRR2752447	sample57	dummy	BioSample: SAMN04201330; Sample name: 14-04-05-ma; SRA: SRS1126014	isolate: 14-04-05-ma; breed: wild	SINGLE	488921	363792
PRJNA299372_Aythya-marila	SRR2752448	sample58	dummy	BioSample: SAMN04201331; Sample name: 14-04-06-ma; SRA: SRS1126013	isolate: 14-04-06-ma; breed: wild	SINGLE	725338	561246
PRJNA299372_Aythya-marila	SRR2752449	sample59	dummy	BioSample: SAMN04201332; Sample name: 14-04-07-ma; SRA: SRS1126012	isolate: 14-04-07-ma; breed: wild	SINGLE	344022	271836
PRJNA299372_Aythya-marila	SRR2752450	sample60	dummy	BioSample: SAMN04201333; Sample name: 14-04-26-ma; SRA: SRS1126011	isolate: 14-04-26-ma; breed: wild	SINGLE	851101	646022
PRJNA299372_Aythya-marila	SRR2752451	sample61	dummy	BioSample: SAMN04201334; Sample name: 14-04-88-ma; SRA: SRS1126010	isolate: 14-04-88-ma; breed: wild	SINGLE	718074	553258
PRJNA299372_Aythya-marila	SRR2752452	sample62	dummy	BioSample: SAMN04201335; Sample name: 14-04-89-ma; SRA: SRS1126009	isolate: 14-04-89-ma; breed: wild	SINGLE	917965	711823
PRJNA299372_Aythya-marila	SRR2752453	sample63	dummy	BioSample: SAMN04201336; Sample name: 14-04-90-ma; SRA: SRS1126008	isolate: 14-04-90-ma; breed: wild	SINGLE	384008	261955
