link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA436919_Apostichopus-californicus	SRR6806169	sample664	dummy	BioSample: SAMN08635725; Sample name: SEL_1594; SRA: SRS3019512		SINGLE	2787855	2367583
PRJNA436919_Apostichopus-californicus	SRR6806170	sample665	dummy	BioSample: SAMN08635726; Sample name: SEL_1596; SRA: SRS3019511		SINGLE	3435588	2511988
PRJNA436919_Apostichopus-californicus	SRR6806171	sample666	dummy	BioSample: SAMN08635732; Sample name: TOL_1664; SRA: SRS3019510		SINGLE	6000000	5037494
PRJNA436919_Apostichopus-californicus	SRR6806172	sample667	dummy	BioSample: SAMN08635168; Sample name: MAL_2638; SRA: SRS3019509		SINGLE	6000000	5246022
PRJNA436919_Apostichopus-californicus	SRR6806173	sample668	dummy	BioSample: SAMN08635167; Sample name: MAL_2636; SRA: SRS3019508		SINGLE	3296406	2933893
PRJNA436919_Apostichopus-californicus	SRR6806174	sample669	dummy	BioSample: SAMN08635170; Sample name: MAL_2640; SRA: SRS3019585		SINGLE	3354179	2682517
PRJNA436919_Apostichopus-californicus	SRR6806175	sample670	dummy	BioSample: SAMN08635169; Sample name: MAL_2639; SRA: SRS3019507		SINGLE	872147	705084
PRJNA436919_Apostichopus-californicus	SRR6806176	sample671	dummy	BioSample: SAMN08635291; Sample name: RBY_2217; SRA: SRS3019506		SINGLE	2779038	2367694
PRJNA436919_Apostichopus-californicus	SRR6806177	sample672	dummy	BioSample: SAMN08635163; Sample name: LAS_2550; SRA: SRS3019582		SINGLE	2285819	1951342
PRJNA436919_Apostichopus-californicus	SRR6806178	sample673	dummy	BioSample: SAMN08635166; Sample name: MAL_2635; SRA: SRS3019505		SINGLE	2190033	1872703
PRJNA436919_Apostichopus-californicus	SRR6806179	sample674	dummy	BioSample: SAMN08635165; Sample name: MAL_2634; SRA: SRS3019504		SINGLE	1795718	1502169
PRJNA436919_Apostichopus-californicus	SRR6806180	sample675	dummy	BioSample: SAMN08635287; Sample name: RBY_2213; SRA: SRS3019503		SINGLE	2210775	1933137
PRJNA436919_Apostichopus-californicus	SRR6806181	sample676	dummy	BioSample: SAMN08635288; Sample name: RBY_2214; SRA: SRS3019501		SINGLE	6000000	5061077
PRJNA436919_Apostichopus-californicus	SRR6806182	sample677	dummy	BioSample: SAMN08635289; Sample name: RBY_2215; SRA: SRS3019502		SINGLE	2097034	1791188
PRJNA436919_Apostichopus-californicus	SRR6806183	sample678	dummy	BioSample: SAMN08635290; Sample name: RBY_2216; SRA: SRS3019500		SINGLE	1400571	1158701
PRJNA436919_Apostichopus-californicus	SRR6806184	sample679	dummy	BioSample: SAMN08635172; Sample name: MAL_2642; SRA: SRS3019498		SINGLE	3108462	2764686
PRJNA436919_Apostichopus-californicus	SRR6806185	sample680	dummy	BioSample: SAMN08635284; Sample name: RBY_2210; SRA: SRS3019497		SINGLE	948118	784467
PRJNA436919_Apostichopus-californicus	SRR6806186	sample681	dummy	BioSample: SAMN08635285; Sample name: RBY_2211; SRA: SRS3019496		SINGLE	3812764	3401044
PRJNA436919_Apostichopus-californicus	SRR6806187	sample682	dummy	BioSample: SAMN08635286; Sample name: RBY_2212; SRA: SRS3019495		SINGLE	2188580	1815101
PRJNA436919_Apostichopus-californicus	SRR6806188	sample683	dummy	BioSample: SAMN08635724; Sample name: SEL_1593; SRA: SRS3019494		SINGLE	2121390	1533660
PRJNA436919_Apostichopus-californicus	SRR6806189	sample684	dummy	BioSample: SAMN08635424; Sample name: AK1_17; SRA: SRS3019493		SINGLE	2228921	1766923
PRJNA436919_Apostichopus-californicus	SRR6806190	sample685	dummy	BioSample: SAMN08635423; Sample name: AK1_16; SRA: SRS3019491		SINGLE	4894879	3844749
PRJNA436919_Apostichopus-californicus	SRR6806191	sample686	dummy	BioSample: SAMN08635426; Sample name: AK1_19; SRA: SRS3019492		SINGLE	2463758	1968424
PRJNA436919_Apostichopus-californicus	SRR6806192	sample687	dummy	BioSample: SAMN08635425; Sample name: AK1_18; SRA: SRS3019489		SINGLE	2287184	1842527
PRJNA436919_Apostichopus-californicus	SRR6806193	sample688	dummy	BioSample: SAMN08635428; Sample name: AK1_21; SRA: SRS3019490		SINGLE	3015764	2331335
PRJNA436919_Apostichopus-californicus	SRR6806194	sample689	dummy	BioSample: SAMN08635427; Sample name: AK1_20; SRA: SRS3019488		SINGLE	2579594	2268264
PRJNA436919_Apostichopus-californicus	SRR6806195	sample690	dummy	BioSample: SAMN08635430; Sample name: AK1_23; SRA: SRS3019486		SINGLE	2688019	2129532
PRJNA436919_Apostichopus-californicus	SRR6806196	sample691	dummy	BioSample: SAMN08635429; Sample name: AK1_22; SRA: SRS3019485		SINGLE	2257412	1783224
PRJNA436919_Apostichopus-californicus	SRR6806197	sample692	dummy	BioSample: SAMN08635432; Sample name: AK1_25; SRA: SRS3019484		SINGLE	2204303	1730956
PRJNA436919_Apostichopus-californicus	SRR6806198	sample693	dummy	BioSample: SAMN08635431; Sample name: AK1_24; SRA: SRS3019483		SINGLE	3197309	2484971
PRJNA436919_Apostichopus-californicus	SRR6806199	sample694	dummy	BioSample: SAMN08635088; Sample name: HOP_2574; SRA: SRS3019674		SINGLE	4070542	3557976
PRJNA436919_Apostichopus-californicus	SRR6806200	sample695	dummy	BioSample: SAMN08635087; Sample name: HOP_2573; SRA: SRS3019481		SINGLE	2217868	1899586
PRJNA436919_Apostichopus-californicus	SRR6806201	sample696	dummy	BioSample: SAMN08635086; Sample name: HOP_2572; SRA: SRS3019480		SINGLE	1141055	928125
