link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA629489_Fucus-vesiculosus	SRR11698064	sample81	dummy	BioSample: SAMN14825548; Sample name: S2_02; SRA: SRS6599710	ecotype: Oresund Sweden	SINGLE	12578376	12353242
PRJNA629489_Fucus-vesiculosus	SRR11698065	sample82	dummy	BioSample: SAMN14825547; Sample name: S2_01; SRA: SRS6599709	ecotype: Oresund Sweden	SINGLE	17203359	16868261
PRJNA629489_Fucus-vesiculosus	SRR11698066	sample83	dummy	BioSample: SAMN14825546; Sample name: S1_04Rep; SRA: SRS6599708	ecotype: Oresund Sweden	SINGLE	11618154	11403463
PRJNA629489_Fucus-vesiculosus	SRR11698067	sample84	dummy	BioSample: SAMN14825545; Sample name: S1_03Rep; SRA: SRS6599707	ecotype: Oresund Sweden	SINGLE	13094471	12873936
PRJNA629489_Fucus-vesiculosus	SRR11698068	sample85	dummy	BioSample: SAMN14825544; Sample name: S1_02Rep; SRA: SRS6599706	ecotype: Oresund Sweden	SINGLE	13432613	13177165
PRJNA629489_Fucus-vesiculosus	SRR11698069	sample86	dummy	BioSample: SAMN14825543; Sample name: S1_01Rep; SRA: SRS6599705	ecotype: Oresund Sweden	SINGLE	13873367	13620247
PRJNA629489_Fucus-vesiculosus	SRR11698070	sample87	dummy	BioSample: SAMN14825525; Sample name: S1_03; SRA: SRS6599704	ecotype: Oresund Sweden	SINGLE	11000892	10806908
PRJNA629489_Fucus-vesiculosus	SRR11698071	sample88	dummy	BioSample: SAMN14825542; Sample name: S1_24; SRA: SRS6599703	ecotype: Oresund Sweden	SINGLE	14738609	14483865
PRJNA629489_Fucus-vesiculosus	SRR11698072	sample89	dummy	BioSample: SAMN14825541; Sample name: S1_21; SRA: SRS6599702	ecotype: Oresund Sweden	SINGLE	12488500	12265545
PRJNA629489_Fucus-vesiculosus	SRR11698073	sample90	dummy	BioSample: SAMN14825540; Sample name: S1_20; SRA: SRS6599701	ecotype: Oresund Sweden	SINGLE	11501082	11304256
PRJNA629489_Fucus-vesiculosus	SRR11698074	sample91	dummy	BioSample: SAMN14825539; Sample name: S1_19; SRA: SRS6599700	ecotype: Oresund Sweden	SINGLE	14387096	14179169
PRJNA629489_Fucus-vesiculosus	SRR11698075	sample92	dummy	BioSample: SAMN14825538; Sample name: S1_18; SRA: SRS6599699	ecotype: Oresund Sweden	SINGLE	11150373	10952626
