link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA477007_Paralichthys-dentatus	SRR7402215	sample105	dummy	BioSample: SAMN09463565; Sample name: PADE14_079; SRA: SRS3440627		SINGLE	260254	241126
PRJNA477007_Paralichthys-dentatus	SRR7402216	sample106	dummy	BioSample: SAMN09463564; Sample name: PADE14_078; SRA: SRS3440626		SINGLE	250451	232165
PRJNA477007_Paralichthys-dentatus	SRR7402217	sample107	dummy	BioSample: SAMN09463563; Sample name: PADE14_077; SRA: SRS3440625		SINGLE	251507	232959
PRJNA477007_Paralichthys-dentatus	SRR7402218	sample108	dummy	BioSample: SAMN09463562; Sample name: PADE14_076; SRA: SRS3440624		SINGLE	157488	145383
PRJNA477007_Paralichthys-dentatus	SRR7402219	sample109	dummy	BioSample: SAMN09463569; Sample name: PADE14_084; SRA: SRS3440623		SINGLE	282968	261277
PRJNA477007_Paralichthys-dentatus	SRR7402220	sample110	dummy	BioSample: SAMN09463568; Sample name: PADE14_083; SRA: SRS3440622		SINGLE	286098	264541
PRJNA477007_Paralichthys-dentatus	SRR7402221	sample111	dummy	BioSample: SAMN09463567; Sample name: PADE14_082; SRA: SRS3440621		SINGLE	250379	232050
PRJNA477007_Paralichthys-dentatus	SRR7402222	sample112	dummy	BioSample: SAMN09463566; Sample name: PADE14_081; SRA: SRS3440620		SINGLE	135587	124681
PRJNA477007_Paralichthys-dentatus	SRR7402223	sample113	dummy	BioSample: SAMN09463571; Sample name: PADE14_086; SRA: SRS3440619		SINGLE	190344	176742
PRJNA477007_Paralichthys-dentatus	SRR7402224	sample114	dummy	BioSample: SAMN09463570; Sample name: PADE14_085; SRA: SRS3440618		SINGLE	287227	265118
PRJNA477007_Paralichthys-dentatus	SRR7402225	sample115	dummy	BioSample: SAMN09463462; Sample name: PADE14_221; SRA: SRS3440617		SINGLE	685179	670834
PRJNA477007_Paralichthys-dentatus	SRR7402226	sample116	dummy	BioSample: SAMN09463463; Sample name: PADE14_222; SRA: SRS3440616		SINGLE	731170	717853
PRJNA477007_Paralichthys-dentatus	SRR7402227	sample117	dummy	BioSample: SAMN09463464; Sample name: PADE14_223; SRA: SRS3440614		SINGLE	306692	301003
PRJNA477007_Paralichthys-dentatus	SRR7402228	sample118	dummy	BioSample: SAMN09463465; Sample name: PADE14_224; SRA: SRS3440615		SINGLE	721301	707143
PRJNA477007_Paralichthys-dentatus	SRR7402229	sample119	dummy	BioSample: SAMN09463466; Sample name: PADE14_225; SRA: SRS3440613		SINGLE	200957	197308
PRJNA477007_Paralichthys-dentatus	SRR7402230	sample120	dummy	BioSample: SAMN09463467; Sample name: PADE14_226; SRA: SRS3440610		SINGLE	242439	237810
PRJNA477007_Paralichthys-dentatus	SRR7402231	sample121	dummy	BioSample: SAMN09463468; Sample name: PADE14_227; SRA: SRS3440612		SINGLE	837907	822455
PRJNA477007_Paralichthys-dentatus	SRR7402232	sample122	dummy	BioSample: SAMN09463469; Sample name: PADE14_228; SRA: SRS3440611		SINGLE	824239	808801
PRJNA477007_Paralichthys-dentatus	SRR7402233	sample123	dummy	BioSample: SAMN09463470; Sample name: PADE14_229; SRA: SRS3440609		SINGLE	159262	156362
PRJNA477007_Paralichthys-dentatus	SRR7402234	sample124	dummy	BioSample: SAMN09463471; Sample name: PADE14_239; SRA: SRS3440608		SINGLE	392393	385089
PRJNA477007_Paralichthys-dentatus	SRR7402235	sample125	dummy	BioSample: SAMN09463388; Sample name: PADE14_140; SRA: SRS3440607		SINGLE	769658	754749
PRJNA477007_Paralichthys-dentatus	SRR7402236	sample126	dummy	BioSample: SAMN09463389; Sample name: PADE14_141; SRA: SRS3440606		SINGLE	722103	707526
PRJNA477007_Paralichthys-dentatus	SRR7402237	sample127	dummy	BioSample: SAMN09463386; Sample name: PADE14_138; SRA: SRS3440605		SINGLE	355184	348736
PRJNA477007_Paralichthys-dentatus	SRR7402238	sample128	dummy	BioSample: SAMN09463387; Sample name: PADE14_139; SRA: SRS3440604		SINGLE	636902	625339
PRJNA477007_Paralichthys-dentatus	SRR7402239	sample129	dummy	BioSample: SAMN09463384; Sample name: PADE14_135; SRA: SRS3440602		SINGLE	318532	312676
PRJNA477007_Paralichthys-dentatus	SRR7402240	sample130	dummy	BioSample: SAMN09463385; Sample name: PADE14_136; SRA: SRS3440603		SINGLE	879931	864079
PRJNA477007_Paralichthys-dentatus	SRR7402241	sample131	dummy	BioSample: SAMN09463382; Sample name: PADE14_133; SRA: SRS3440601		SINGLE	769479	754624
PRJNA477007_Paralichthys-dentatus	SRR7402242	sample132	dummy	BioSample: SAMN09463383; Sample name: PADE14_134; SRA: SRS3440600		SINGLE	332013	325331
PRJNA477007_Paralichthys-dentatus	SRR7402243	sample133	dummy	BioSample: SAMN09463390; Sample name: PADE14_142; SRA: SRS3440599		SINGLE	304363	298857
PRJNA477007_Paralichthys-dentatus	SRR7402244	sample134	dummy	BioSample: SAMN09463391; Sample name: PADE14_143; SRA: SRS3440598		SINGLE	347798	341125
PRJNA477007_Paralichthys-dentatus	SRR7402245	sample135	dummy	BioSample: SAMN09463461; Sample name: PADE14_220; SRA: SRS3440597		SINGLE	620205	608183
PRJNA477007_Paralichthys-dentatus	SRR7402246	sample136	dummy	BioSample: SAMN09463460; Sample name: PADE14_219; SRA: SRS3440596		SINGLE	220753	216403
PRJNA477007_Paralichthys-dentatus	SRR7402247	sample137	dummy	BioSample: SAMN09463459; Sample name: PADE14_218; SRA: SRS3440595		SINGLE	439582	431174
PRJNA477007_Paralichthys-dentatus	SRR7402248	sample138	dummy	BioSample: SAMN09463458; Sample name: PADE14_217; SRA: SRS3440594		SINGLE	618554	607152
PRJNA477007_Paralichthys-dentatus	SRR7402249	sample139	dummy	BioSample: SAMN09463457; Sample name: PADE14_216; SRA: SRS3440593		SINGLE	733887	720136
PRJNA477007_Paralichthys-dentatus	SRR7402250	sample140	dummy	BioSample: SAMN09463456; Sample name: PADE14_215; SRA: SRS3440592		SINGLE	509662	500057
PRJNA477007_Paralichthys-dentatus	SRR7402251	sample141	dummy	BioSample: SAMN09463455; Sample name: PADE14_214; SRA: SRS3440591		SINGLE	713227	699363
PRJNA477007_Paralichthys-dentatus	SRR7402252	sample142	dummy	BioSample: SAMN09463454; Sample name: PADE14_213; SRA: SRS3440590		SINGLE	219744	215341
PRJNA477007_Paralichthys-dentatus	SRR7402253	sample143	dummy	BioSample: SAMN09463453; Sample name: PADE14_212; SRA: SRS3440589		SINGLE	325371	319541
PRJNA477007_Paralichthys-dentatus	SRR7402254	sample144	dummy	BioSample: SAMN09463452; Sample name: PADE14_211; SRA: SRS3440588		SINGLE	673417	660673
PRJNA477007_Paralichthys-dentatus	SRR7402255	sample145	dummy	BioSample: SAMN09463395; Sample name: PADE14_147; SRA: SRS3440586		SINGLE	695833	682407
PRJNA477007_Paralichthys-dentatus	SRR7402256	sample146	dummy	BioSample: SAMN09463394; Sample name: PADE14_146; SRA: SRS3440585		SINGLE	163572	160284
PRJNA477007_Paralichthys-dentatus	SRR7402257	sample147	dummy	BioSample: SAMN09463393; Sample name: PADE14_145; SRA: SRS3440587		SINGLE	484741	475432
PRJNA477007_Paralichthys-dentatus	SRR7402258	sample148	dummy	BioSample: SAMN09463392; Sample name: PADE14_144; SRA: SRS3440584		SINGLE	650082	638275
PRJNA477007_Paralichthys-dentatus	SRR7402259	sample149	dummy	BioSample: SAMN09463399; Sample name: PADE14_151; SRA: SRS3440582		SINGLE	805823	790607
PRJNA477007_Paralichthys-dentatus	SRR7402260	sample150	dummy	BioSample: SAMN09463398; Sample name: PADE14_150; SRA: SRS3440583		SINGLE	714981	701970
PRJNA477007_Paralichthys-dentatus	SRR7402261	sample151	dummy	BioSample: SAMN09463397; Sample name: PADE14_149; SRA: SRS3440581		SINGLE	182181	178935
PRJNA477007_Paralichthys-dentatus	SRR7402262	sample152	dummy	BioSample: SAMN09463396; Sample name: PADE14_148; SRA: SRS3440580		SINGLE	811011	795818
PRJNA477007_Paralichthys-dentatus	SRR7402263	sample153	dummy	BioSample: SAMN09463401; Sample name: PADE14_154; SRA: SRS3440578		SINGLE	480200	470722
PRJNA477007_Paralichthys-dentatus	SRR7402264	sample154	dummy	BioSample: SAMN09463400; Sample name: PADE14_153; SRA: SRS3440579		SINGLE	715268	702447
PRJNA477007_Paralichthys-dentatus	SRR7402265	sample155	dummy	BioSample: SAMN09463443; Sample name: PADE14_198; SRA: SRS3440577		SINGLE	301930	295654
PRJNA477007_Paralichthys-dentatus	SRR7402266	sample156	dummy	BioSample: SAMN09463550; Sample name: PADE14_055; SRA: SRS3440576		SINGLE	341755	335277
