link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA480409_Laguncularia-racemosa	SRR7504200	sample31	dummy	BioSample: SAMN09635840; Sample name: KyWFl_L3; SRA: SRS3531209	isolate: KyWFl_L3	SINGLE	185271	183701
PRJNA480409_Laguncularia-racemosa	SRR7504201	sample32	dummy	BioSample: SAMN09635841; Sample name: KyWFl_L5; SRA: SRS3531208	isolate: KyWFl_L5	SINGLE	188514	187071
PRJNA480409_Laguncularia-racemosa	SRR7504202	sample33	dummy	BioSample: SAMN09635842; Sample name: KyWFl_L6; SRA: SRS3531207	isolate: KyWFl_L6	SINGLE	331814	328968
PRJNA480409_Laguncularia-racemosa	SRR7504203	sample34	dummy	BioSample: SAMN09635871; Sample name: NPRFl_L5; SRA: SRS3531206	isolate: NPRFl_L5	SINGLE	611644	605845
PRJNA480409_Laguncularia-racemosa	SRR7504204	sample35	dummy	BioSample: SAMN09635872; Sample name: NPRFl_L9; SRA: SRS3531205	isolate: NPRFl_L9	SINGLE	199289	197216
PRJNA480409_Laguncularia-racemosa	SRR7504205	sample36	dummy	BioSample: SAMN09635870; Sample name: MlbFl_L5; SRA: SRS3531204	isolate: MlbFl_L5	SINGLE	383549	379415
PRJNA480409_Laguncularia-racemosa	SRR7504206	sample37	dummy	BioSample: SAMN09635868; Sample name: MlbFl_L2; SRA: SRS3531203	isolate: MlbFl_L2	SINGLE	651380	642576
PRJNA480409_Laguncularia-racemosa	SRR7504207	sample38	dummy	BioSample: SAMN09635869; Sample name: MlbFl_L3; SRA: SRS3531202	isolate: MlbFl_L3	SINGLE	139228	137930
PRJNA480409_Laguncularia-racemosa	SRR7504208	sample39	dummy	BioSample: SAMN09635867; Sample name: MlbFl_L1; SRA: SRS3531201	isolate: MlbFl_L1	SINGLE	119661	118774
PRJNA480409_Laguncularia-racemosa	SRR7504209	sample40	dummy	BioSample: SAMN09635850; Sample name: LqBPR_L5; SRA: SRS3531200	isolate: LqBPR_L5	SINGLE	177640	175576
PRJNA480409_Laguncularia-racemosa	SRR7504210	sample41	dummy	BioSample: SAMN09635849; Sample name: LqBPR_L4; SRA: SRS3531199	isolate: LqBPR_L4	SINGLE	753631	745320
PRJNA480409_Laguncularia-racemosa	SRR7504211	sample42	dummy	BioSample: SAMN09635852; Sample name: LucBa_L1; SRA: SRS3531216	isolate: LucBa_L1	SINGLE	507282	503669
PRJNA480409_Laguncularia-racemosa	SRR7504212	sample43	dummy	BioSample: SAMN09635851; Sample name: LqBPR_L6; SRA: SRS3531198	isolate: LqBPR_L6	SINGLE	930865	917462
PRJNA480409_Laguncularia-racemosa	SRR7504213	sample44	dummy	BioSample: SAMN09635846; Sample name: LqBPR_L1; SRA: SRS3531196	isolate: LqBPR_L1	SINGLE	542755	537373
PRJNA480409_Laguncularia-racemosa	SRR7504214	sample45	dummy	BioSample: SAMN09635845; Sample name: LNPGr_L3; SRA: SRS3531197	isolate: LNPGr_L3	SINGLE	3536984	3517143
PRJNA480409_Laguncularia-racemosa	SRR7504215	sample46	dummy	BioSample: SAMN09635848; Sample name: LqBPR_L3; SRA: SRS3531195	isolate: LqBPR_L3	SINGLE	4914204	4874568
PRJNA480409_Laguncularia-racemosa	SRR7504216	sample47	dummy	BioSample: SAMN09635847; Sample name: LqBPR_L2; SRA: SRS3531194	isolate: LqBPR_L2	SINGLE	1208828	1194642
PRJNA480409_Laguncularia-racemosa	SRR7504217	sample48	dummy	BioSample: SAMN09635863; Sample name: ManCR_L6; SRA: SRS3531193	isolate: ManCR_L6	SINGLE	7266790	7211209
PRJNA480409_Laguncularia-racemosa	SRR7504218	sample49	dummy	BioSample: SAMN09635874; Sample name: NSvCI_L5; SRA: SRS3531192	isolate: NSvCI_L5	SINGLE	1420103	1405724
PRJNA480409_Laguncularia-racemosa	SRR7504219	sample50	dummy	BioSample: SAMN09635873; Sample name: NSvCI_L3; SRA: SRS3531191	isolate: NSvCI_L3	SINGLE	447698	441701
PRJNA480409_Laguncularia-racemosa	SRR7504220	sample51	dummy	BioSample: SAMN09635854; Sample name: LucBa_L5; SRA: SRS3531190	isolate: LucBa_L5	SINGLE	2359396	2340595
PRJNA480409_Laguncularia-racemosa	SRR7504221	sample52	dummy	BioSample: SAMN09635853; Sample name: LucBa_L3; SRA: SRS3531189	isolate: LucBa_L3	SINGLE	1297897	1284502
PRJNA480409_Laguncularia-racemosa	SRR7504222	sample53	dummy	BioSample: SAMN09635864; Sample name: ManCR_L10; SRA: SRS3531188	isolate: ManCR_L10	SINGLE	6707173	6666555
