link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA280898_Lagenorhynchus-albirostris	SRR2006210	sample46	dummy	BioSample: SAMN03480568; Sample name: NOR_34503; SRA: SRS927615		SINGLE	1072702	1072702
PRJNA280898_Lagenorhynchus-albirostris	SRR2006211	sample47	dummy	BioSample: SAMN03480569; Sample name: NOR_44500; SRA: SRS927614		SINGLE	2249851	2249851
PRJNA280898_Lagenorhynchus-albirostris	SRR2006212	sample48	dummy	BioSample: SAMN03480570; Sample name: NOR_54500; SRA: SRS927612		SINGLE	1830864	1830864
PRJNA280898_Lagenorhynchus-albirostris	SRR2006213	sample49	dummy	BioSample: SAMN03480571; Sample name: SCO_E_M03104; SRA: SRS927613		SINGLE	3559862	3559862
PRJNA280898_Lagenorhynchus-albirostris	SRR2006214	sample50	dummy	BioSample: SAMN03480572; Sample name: SCO_ E_M11410; SRA: SRS927611		SINGLE	564932	564932
PRJNA280898_Lagenorhynchus-albirostris	SRR2006215	sample51	dummy	BioSample: SAMN03480573; Sample name: SCO_ E_M12305; SRA: SRS927610		SINGLE	515198	515198
PRJNA280898_Lagenorhynchus-albirostris	SRR2006216	sample52	dummy	BioSample: SAMN03480574; Sample name: SCO_ E_M13808; SRA: SRS927609		SINGLE	324014	324014
PRJNA280898_Lagenorhynchus-albirostris	SRR2006217	sample53	dummy	BioSample: SAMN03480575; Sample name: SCO_ E_M1403; SRA: SRS927608		SINGLE	132489	132489
PRJNA280898_Lagenorhynchus-albirostris	SRR2006218	sample54	dummy	BioSample: SAMN03480576; Sample name: SCO_ E_M15604; SRA: SRS927607		SINGLE	1880832	1880832
PRJNA280898_Lagenorhynchus-albirostris	SRR2006219	sample55	dummy	BioSample: SAMN03480577; Sample name: SCO_ E_M16709; SRA: SRS927606		SINGLE	650712	650712
PRJNA280898_Lagenorhynchus-albirostris	SRR2006220	sample56	dummy	BioSample: SAMN03480578; Sample name: SCO_ E_M16801; SRA: SRS927605		SINGLE	3048332	3048332
PRJNA280898_Lagenorhynchus-albirostris	SRR2006221	sample57	dummy	BioSample: SAMN03480579; Sample name: SCO_ E_M17001; SRA: SRS927603		SINGLE	322176	322176
