link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA563695_Amphiprion-clarkii	SRR10118346	sample2369	dummy	BioSample: SAMN12747166; Sample name: APCL16_434_L5161; SRA: SRS5386552		SINGLE	584668	584668
PRJNA563695_Amphiprion-clarkii	SRR10118347	sample2370	dummy	BioSample: SAMN12747165; Sample name: APCL16_433_L5160; SRA: SRS5386551		SINGLE	673811	673811
PRJNA563695_Amphiprion-clarkii	SRR10118348	sample2371	dummy	BioSample: SAMN12747164; Sample name: APCL16_432_L5159; SRA: SRS5386550		SINGLE	422606	422605
PRJNA563695_Amphiprion-clarkii	SRR10118349	sample2372	dummy	BioSample: SAMN12747163; Sample name: APCL16_431_L5158; SRA: SRS5386549		SINGLE	704182	704182
PRJNA563695_Amphiprion-clarkii	SRR10118350	sample2373	dummy	BioSample: SAMN12747162; Sample name: APCL16_430_L5157; SRA: SRS5386548		SINGLE	667373	667373
PRJNA563695_Amphiprion-clarkii	SRR10118351	sample2374	dummy	BioSample: SAMN12747161; Sample name: APCL16_429_L5156; SRA: SRS5386547		SINGLE	607978	607978
PRJNA563695_Amphiprion-clarkii	SRR10118352	sample2375	dummy	BioSample: SAMN12747160; Sample name: APCL16_427_L5154; SRA: SRS5386546		SINGLE	694856	694856
PRJNA563695_Amphiprion-clarkii	SRR10118353	sample2376	dummy	BioSample: SAMN12746897; Sample name: APCL17_249_L4470; SRA: SRS5386545		SINGLE	257750	257750
PRJNA563695_Amphiprion-clarkii	SRR10118354	sample2377	dummy	BioSample: SAMN12746843; Sample name: APCL17_179_L4415; SRA: SRS5386544		SINGLE	386940	386940
PRJNA563695_Amphiprion-clarkii	SRR10118355	sample2378	dummy	BioSample: SAMN12747159; Sample name: APCL16_425_L5153; SRA: SRS5386543		SINGLE	517401	517401
PRJNA563695_Amphiprion-clarkii	SRR10118356	sample2379	dummy	BioSample: SAMN12747158; Sample name: APCL16_424_L5152; SRA: SRS5386542		SINGLE	636207	636207
PRJNA563695_Amphiprion-clarkii	SRR10118357	sample2380	dummy	BioSample: SAMN12747157; Sample name: APCL16_423_L5151; SRA: SRS5386541		SINGLE	719235	719233
PRJNA563695_Amphiprion-clarkii	SRR10118358	sample2381	dummy	BioSample: SAMN12747156; Sample name: APCL16_421_L5150; SRA: SRS5386540		SINGLE	441063	441063
PRJNA563695_Amphiprion-clarkii	SRR10118359	sample2382	dummy	BioSample: SAMN12747155; Sample name: APCL16_420_L5149; SRA: SRS5386539		SINGLE	670685	670685
PRJNA563695_Amphiprion-clarkii	SRR10118360	sample2383	dummy	BioSample: SAMN12747154; Sample name: APCL16_419_L5148; SRA: SRS5386538		SINGLE	651376	651376
PRJNA563695_Amphiprion-clarkii	SRR10118361	sample2384	dummy	BioSample: SAMN12747153; Sample name: APCL16_418_L5147; SRA: SRS5386537		SINGLE	704661	704661
