"species","run_name","stacksparams","s.wish","nugget","m.wish","nbhd.wish","inDeme.wish","s.cmpl","m.cmpl","nbhd.cmpl","inDeme.cmpl"
"Pygoscelis adeliae","bioprj_PRJNA493660_Pygoscelis-adeliae","littlem_3_bigm_3_n3_nequalM",0.995605697261164,0.995605697261164,0.374352858226156,41.038856229001,0.00268003850182882,0.999947298755038,0.033248048681639,109.377858470216,0.999999999999961
"Pygoscelis antarcticus","bioprj_PRJNA493660_Pygoscelis-antarcticus","littlem_3_bigm_3_n2_nis1lessthanM",0.99796919481754,0.99796919481754,0.0795771081778457,12.6846816235503,0.00178081663999534,NA,NA,NA,NA
"Pygoscelis papua","bioprj_PRJNA493660_Pygoscelis-papua","littlem_3_bigm_3_n2_nis1lessthanM",0.998490758125636,0.998490758125636,4.13245001671019e-12,26.6266414887933,0.35292350638184,0.999901899670022,0.0694710242687645,53.4082382903839,0.999971856907365
"Pyroteuthis margaritifera","bioprj_PRJNA573759_Pyroteuthis-margaritifera","littlem_3_bigm_9_n9_nequalM",NA,NA,NA,NA,NA,0.98512329482274,0.110459128550003,164.21861995774,0.999999975051095
"Rhizophora mangle","bioprj_PRJNA480308_Rhizophora-mangle","littlem_3_bigm_3_n3_nequalM",0.996186465093995,0.996186465093995,1.36888056190843e-13,28.7454310016012,0.418792400405129,0.999868933794734,0.0338822050035106,67.9046298526471,0.999957406353081
"Sebastes paucispinis","bioprj_PRJNA451040_Sebastes-paucispinis","littlem_3_bigm_3_n3_nequalM",0.999135575239559,0.999135575239559,0.101416655343883,9.69324534388717,0.00204664799079373,0.999136180905252,0.0414976801146596,68.2233723291694,0.0165674812678616
"Sebastes pinniger","bioprj_PRJNA451040_Sebastes-pinniger","littlem_3_bigm_3_n3_nequalM",0.998797640160638,0.998797640160638,0.352409903763843,32.5525421154417,0.000676720080816789,0.999762238254971,0.0512527982300589,129.460971515398,0.999999994998596
"Sebastes rastrelliger","bioprj_PRJNA316872_Sebastes-rastrelliger","littlem_3_bigm_3_n4_nis1morethanM",0.998816227223489,0.998816227223489,0.122406637312579,14.2193176858782,0.000986418098492413,0.999932102130705,0.0405736579804489,63.8167702125313,0.999749683246721
"Sebastes ruberrimus","bioprj_PRJNA451040_Sebastes-ruberrimus","littlem_3_bigm_3_n4_nis1morethanM",0.998628279440855,0.998628279440855,0.0699739569319744,94.35149034084,0.0196982405538602,0.999956329445806,0.0946741217104774,87.058018089823,0.99999927437278
"Sebastiscus marmoratus","bioprj_PRJNA392526_Sebastiscus-marmoratus","littlem_3_bigm_3_n4_nis1morethanM",0.997044094138883,0.997044094138883,0.0795965977459864,13.1919483361967,0.0109196244331202,0.996994384711182,0.0649184796196572,64.9131647050608,0.677143197772982
"Siphamia tubifer","bioprj_PRJNA385011_Siphamia-tubifer","littlem_3_bigm_3_n3_nequalM",0.996686568926547,0.996686568926547,0.310828457490784,27.5619999788833,0.000513461135773099,NA,NA,NA,NA
"Sphyrna tiburo","bioprj_PRJNA286089_Sphyrna-tiburo","littlem_3_bigm_3_n2_nis1lessthanM",NA,NA,NA,NA,NA,0.999937024672064,0.0475693284351829,55.7144897507908,0.999999994217308
"Stegastes beebei","bioprj_PRJNA448430_Stegastes-beebei","littlem_3_bigm_9_n9_nequalM",0.992922498600546,0.992922498600546,1.52231780282376e-08,20.234096998718,0.260575138310266,0.993111801802902,0.000105166481548167,22.3650578353945,0.240565712130821
"Stegastes leucorus","bioprj_PRJNA448430_Stegastes-leucorus","littlem_3_bigm_9_n10_nis1morethanM",0.993816061786972,0.993816061786972,0.081434633017083,12.7059139088174,0.0884232117359517,0.994554700354602,0.0565917954295498,67.7127270214616,0.3333509917166
"Stephanocoenia intersepta","bioprj_PRJNA361144_Stephanocoenia-intersepta","littlem_3_bigm_3_n4_nis1morethanM",0.992314526104445,0.992314526104445,0.293067386269274,27.2747388284147,0.000833732260854157,0.999327343780645,0.115253427277247,27.9284203813119,0.997857451558755
"Vampyroteuthis infernalis","bioprj_PRJNA573759_Vampyroteuthis-infernalis","littlem_3_bigm_6_n5_nis1lessthanM",0.989962433158476,0.989962433158476,0.244769571080746,22.840483741677,0.0411928324751253,0.989745497533233,0.134189377849123,120.109939367236,0.338904897388545
"Zebrasoma flavescens","bioprj_PRJNA449377_Zebrasoma-flavescens","littlem_3_bigm_9_n10_nis1morethanM",0.992593443187386,0.992593443187386,0.227731659540353,0.236659145876694,0.0677035732394236,0.992615715950529,0.309688177564838,20.8747016887239,0.988378702554694
"Zebrasoma scopas","bioprj_PRJNA449377_Zebrasoma-scopas","littlem_3_bigm_6_n7_nis1morethanM",NA,NA,NA,NA,NA,0.999869220058152,0.0819913730558472,73.7417810092579,0.999999701526467
"Zenarchopterus dunckeri","bioprj_PRJDB7819_Zenarchopterus-dunckeri","littlem_3_bigm_9_n10_nis1morethanM",0.992673829557027,0.992673829557027,0.191195222542769,16.2087614625193,0.057058990954954,0.999316955067878,0.0575307954770223,54.6998968611435,0.999999999805172
