"species","run_name","fst.global.wc","mean.rowwisefst","sd.rowwisefst","mean.1toallfst","sd.1toallfst","mean.pwp","sd.pwp"
"Sebastes-diaconus","bioprj_PRJNA560239_Sebastes-diaconus","0.0945942449783565","0.0761491285884215","0.027776325887798",0.0598261010642514,0.0326822075301648,0.00144883857564077,2.54368771891554e-07
"Galaxias-maculatus","bioprj_PRJNA564121_Galaxias-maculatus","0.228263296001798","0.234570996490502","0.0957244703368522",0.0966761791194465,0.0745776935680252,0.00601495150740932,6.2459111038707e-06
"Uria-aalge","bioprj_PRJNA564451_Uria-aalge","0.00783509189114815","0.00688793814434091","0.0038942248427048",0.00293062547040932,0.00447050951759171,0.00485500023923988,1.65343090224937e-06
"Uria-lomvia","bioprj_PRJNA564451_Uria-lomvia","0.00322294215677062","0.00485570329735885","0.00386864811161327",0.00233027588361942,0.00392510014034915,0.00758654680787411,5.18175275147131e-06
"Cranchia-scabra","bioprj_PRJNA573759_Cranchia-scabra","-0.00290470818136363","0.000932247406992954","0.00253643731150558",0.000106405761494729,0.00622323767051052,0.0121505870057181,1.46075561825205e-05
"Pyroteuthis-margaritifera","bioprj_PRJNA573759_Pyroteuthis-margaritifera","0.0163532567459054","0.0110146754900891","0.0089146539578059",0.00430604028265716,0.00931359746092318,0.0179341412486775,0.000224399986802848
"Vampyroteuthis-infernalis","bioprj_PRJNA573759_Vampyroteuthis-infernalis","0.0184468540573473","0.00721165122073866","0.0235246852493186",0.000145289123992112,0.022571939041947,0.0087992236366187,2.80861164072835e-05
"Galaxea-fascicularis","bioprj_PRJNA576132_Galaxea-fascicularis","0.0894175874158173","0.0712535471284685","0.0540117363014335",0.0160708365043692,0.0509358039251603,0.0187473791816662,1.47641281205299e-05
"Galaxea-horrescens","bioprj_PRJNA576132_Galaxea-horrescens","0.195808241687115","0.0533752714980503","0.0600361347642026",0.0956934522918355,0.102818199633936,0.0194519476473032,0.0003142711653804
"Eukrohnia-hamata","bioprj_PRJNA576675_Eukrohnia-hamata","0.00553830031175032","0.00464826588680591","0.00295772688462252",0.00209950534888866,0.00324585089345553,0.00411801393901165,5.03398177720383e-07
"Dascyllus-trimaculatus","bioprj_PRJNA590458_Dascyllus-trimaculatus","0.094707870681567","not_calculated_HPCCtimedout","not_calculated_HPCCtimedout",0.0366985908988135,0.0202411036881861,0.00606267894809597,4.14246825828944e-06
"Bathygobius-cocosensis","bioprj_PRJNA595396_Bathygobius-cocosensis","0.0124886535271607","0.00978092455465011","0.00514128630115308",0.00659256292242745,0.00462879469554465,0.00143734749979704,4.93478494085965e-06
"Anthopleura-elegantissima","bioprj_PRJNA632874_Anthopleura-elegantissima","0.325892608837717","0.0183856724995203","0.0454426455874912",0.000576480872098098,0.0446448460244906,0.00662699973405953,1.32960358557228e-06
"Paracirrhites-forsteri","bioprj_PRJNA640135_Paracirrhites-forsteri","0.00225446142002124","0.00116010940107619","0.00567938788076155",-0.000544540427340159,0.00899847432676707,0.00449459491058953,1.43355046398978e-06
"Bathyraja-aleutica","bioprj_PRJNA646172_Bathyraja-aleutica","0.000749340019484257","0.000749340019484257","only_two_pops_total",0.000749340019484257,0,0.00299981681756284,1.62875832279309e-05
"Bathyraja-panthera","bioprj_PRJNA646172_Bathyraja-panthera","-0.00869107720515059","-0.0129241038517098","0.0260497591915104",-0.0105155390738017,0.047599171636482,0.00241915915324169,1.17287083112923e-05
"Phocoena-sinus","bioprj_PRJNA659918_Phocoena-sinus","0.0055962000294207","0.00101139195548915","0.00245192948881326",0.00203343433550284,0.0122404142972222,0.00172504967200626,6.66239086291918e-05
