"species","run_name","s","nugget","m","nbhd","inDeme","stacksparams"
"Arctocephalus forsteri","bioprj_PRJNA419445_Arctocephalus-forsteri",0.99849178118896,0.00249562666272058,1.62668576452781e-06,1047.94656597735,0.00905400635983233,"littlem_3_bigm_3_n2_nis1lessthanM"
"Ectopleura larynx","bioprj_PRJNA420851_Ectopleura-larynx",0.982132059538565,0.00776228089521766,3.91273108497939e-09,10.5530767820992,0.661968787018908,"littlem_3_bigm_3_n4_nis1morethanM"
"Coryphaenoides rupestris","bioprj_PRJNA430030_Coryphaenoides-rupestris",0.995713180130473,0.00525097984577373,0.0077305133765595,71.6412816162264,0.00910605449718435,"littlem_3_bigm_3_n4_nis1morethanM"
"Pisaster ochraceus","bioprj_PRJNA445895_Pisaster-ochraceus",0.99515193315847,0.0128188930100341,6.66150470412641e-07,732.728616020526,0.00681027005227156,"littlem_3_bigm_3_n4_nis1morethanM"
"Stegastes beebei","bioprj_PRJNA448430_Stegastes-beebei",0.993967519841642,0.00500867859022202,4.02225224958807e-07,20.9573958573585,0.169150485584097,"littlem_3_bigm_6_n6_nequalM"
"Stegastes leucorus","bioprj_PRJNA448430_Stegastes-leucorus",0.993652889235256,0.00606363230143498,0.0112156091596666,852.700707046216,0.064860997391738,"littlem_3_bigm_9_n10_nis1morethanM"
"Holacanthus passer","bioprj_PRJNA448438_Holacanthus-passer",0.996689075709003,0.0031931459162992,0.010984792099846,840.743513009003,0.0355151719896597,"littlem_3_bigm_9_n10_nis1morethanM"
"Zebrasoma flavescens","bioprj_PRJNA449377_Zebrasoma-flavescens",0.992582460799796,0.00686539063046784,0.248482725205583,0.227707536198904,0.0708457673746141,"littlem_3_bigm_9_n10_nis1morethanM"
"Zebrasoma scopas","bioprj_PRJNA449377_Zebrasoma-scopas",0.993377991753965,0.0103820570234109,1.04138029014145e-08,181.91491077532,0.0422347943806688,"littlem_3_bigm_6_n7_nis1morethanM"
"Halichoerus grypus atlantica","bioprj_PRJNA450328_Halichoerus-grypus-atlantica",0.999184123545885,0.00181464614116335,0.00503986085864852,497.476377377269,0.00679341338273091,"littlem_3_bigm_3_n4_nis1morethanM"
"Pocillopora damicornis","bioprj_PRJNA450871_Pocillopora-damicornis",0.969994515755501,0.00572184808595651,0.0108470569428274,805.56308924017,0.536227435041291,"littlem_3_bigm_3_n4_nis1morethanM"
"Sebastes paucispinis","bioprj_PRJNA451040_Sebastes-paucispinis",0.999135083000684,0.000857259867923011,0.00228794546882485,110.969643908855,0.00875897126184033,"littlem_3_bigm_3_n3_nequalM"
"Sebastes pinniger","bioprj_PRJNA451040_Sebastes-pinniger",0.998791451077169,0.00120075705819307,0.000767655196751708,954.034293334029,0.00677360960364791,"littlem_3_bigm_3_n3_nequalM"
"Sebastes ruberrimus","bioprj_PRJNA451040_Sebastes-ruberrimus",0.998610700391396,0.00134357616093585,5.2225978926088e-08,214.563534079021,0.0309622701114971,"littlem_3_bigm_3_n4_nis1morethanM"
"Planes minutus","bioprj_PRJNA471559_Planes-minutus",0.996776344308407,0.010113617871437,6.39597041932326e-10,103.83321883955,0.0337848990111819,"littlem_3_bigm_3_n3_nequalM"
