"species","link","meanlat.genetic","minlat.genetic","maxlat.genetic","meanlat.gbif","minlat.gbif","maxlat.gbif","n_ECOREGIONS.all","n_PROVINCES.all","n_REALMS.all","n_Realm_Costello.all","n_ECOREGIONS.gbif","n_ECOREGIONS.genetic","n_PROVINCES.gbif","n_PROVINCES.genetic","n_REALMS.gbif","n_REALMS.genetic","n_Realm_Costello.gbif","n_Realm_Costello.genetic","max.95.sea.gbif","max.100.sea.gbif","maxgenetic.sea","max.95.gcd.gbif","max.100.gcd.gbif","maxgenetic.gcd","ratio.sea.95","ratio.gcd.95","ratio.sea.100","ratio.gcd.100","Body_Size","Fecundity_EggSize","Generational_Structure","ReturnToSpawningGround","Spawning_mode","Larval_feeding","PLD_point2","isPlanktonic_atanypoint","n_samples","mean_raw_read_cnt","read_length","mean_locus_depth","littlem","bigm","n","s","nugget","m","nbhd","inDeme","stacksparams","thetaW","globalPi","meanHet","taxclade","cladecolor"
"Bartholomea_annulata","bioprj_PRJNA542967_Bartholomea-annulata",20.6743573852459,9.418689,32.44823,17.1895720248756,8.639,32.349133,11,3,2,4,11,7,3,1,2,1,4,2,3248,4229,3153,3159.58248934578,4199.83690398865,3137.71404090635,0.970751231527094,0.993078690455725,0.745566327737054,0.747103783465118,30,0.2,1,0,2,1,NA,1,122,1277543.07377049,90,46.9,3,3,"nis1morethanM",0.994041826443787,0.0129870704233379,3.04687838668818e-09,46.8661423405384,0.127169748770028,"littlem_3_bigm_3_n4_nis1morethanM",0.00696655688430384,0.00531977414921357,0.00387692645328611,"cnidarians","#FF7F00"
"Bathygobius_cocosensis","bioprj_PRJNA595396_Bathygobius-cocosensis",-29.93070245,-35.7623,-23.443397,9.38278578811659,-37.5,34.083333,53,26,6,12,53,3,26,3,6,2,12,2,18856,21632,1492,18675.6784708478,19916.4152830339,1381.11680330396,0.0791260076368265,0.0739526976468265,0.0689718934911243,0.0693456519999601,4,0.34,0,0,1,2,22.5,1,60,8442521.25,151,15,3,3,"nis1morethanM",0.998593882680476,0.00239134168545691,3.54724381123128e-05,139.101728690658,0.0100237331244228,"littlem_3_bigm_3_n4_nis1morethanM",0.00336532382717662,0.0014655267742689,0.00308761823384839,"bony fishes","#A6CEE3"
"Bathyraja_aleutica","bioprj_PRJNA646172_Bathyraja-aleutica",57.1,54.8,59.4,55.7323922204344,36.96137,60.720001,11,4,3,2,11,1,4,1,3,1,2,1,3444,8206,913,3312.90440506924,8040.24750514864,885.075079785931,0.265098722415796,0.267159860825333,0.111260053619303,0.110080576402551,161,128,0,1,1,0,0,0,94,6086355.12765957,95,67.2,3,3,"nis1lessthanM",0.996934192677818,0.00400600381224437,0.0066274490139338,505.134744388219,0.021174093577922,"littlem_3_bigm_3_n2_nis1lessthanM",0.00564715889293026,0.00299155992275711,0.00212250267258581,"chondrichthyes","#33A02C"
"Bathyraja_panthera","bioprj_PRJNA646172_Bathyraja-panthera",52.0466666666667,51.75,52.67,52.0949022361111,51.25423,53.61361,1,1,1,1,1,1,1,1,1,1,1,1,718.85,1084,378,695.950519854625,1049.08462612498,354.080212514804,0.525839883146692,0.508772107230793,0.348708487084871,0.337513489090652,111,98,0,NA,1,0,0,0,15,5593269.4,95,57.5,3,3,"nis1lessthanM",0.997445871437101,0.00248005780377039,7.92082580737824e-06,67.0443887724622,0.0255631230049185,"littlem_3_bigm_3_n2_nis1lessthanM",0.00311043091224837,0.00238468784829051,0.00170503695613709,"chondrichthyes","#33A02C"
"Callinectes_sapidus","bioprj_PRJNA340157_Callinectes-sapidus",31.9534673333333,-30.0672,41.76285,29.3440753899501,-38.574651,44.979852,25,7,4,6,25,3,7,3,4,2,6,2,10452,21332,10249,8004.47743965384,9314.42684631593,8241.1980510723,0.980577879831611,1,0.480451903243953,0.884777795461658,20,0.26,0,0,0,2,50,1,30,2928053.93333333,75,51.8,3,6,"nis1morethanM",0.992074517588752,0.00718500097284024,0.0064642740003315,491.278422238431,0.0946953976954824,"littlem_3_bigm_6_n7_nis1morethanM",0.0113717222907886,0.00730856796132219,0.00577656303377036,"crustacea","#FDBF6F"
"Chlorostoma_funebralis","bioprj_PRJNA286949_Chlorostoma-funebralis",35.244445,32.8,37.86667,37.9238492007722,26.75,54.18,7,2,1,3,7,2,2,2,1,1,3,1,1981,5301,781,1823.3030192111,3458.22231491093,743.471556622029,0.39424533064109,0.407760832285415,0.147330692322203,0.214986628654953,5,0.16,0,0,2,2,6,1,90,1820240.13333333,90,34.2,3,3,"nis1morethanM",0.992047780768096,0.014898853658101,5.12870476156002e-05,325.420142876371,0.00679677033770972,"littlem_3_bigm_3_n4_nis1morethanM",0.0170608593625321,0.00789161145786643,0.00635028145867086,"molluscs","#E31A1C"
"Coryphaenoides_rupestris","bioprj_PRJNA430030_Coryphaenoides-rupestris",56.1496566773034,55.28611111,56.83333333,48.9191658301197,36.118333,72.7,19,5,3,5,19,1,5,1,3,1,5,2,4190,6591,183,4086.29916700815,6388.86787159904,183.498975066249,0.0436754176610979,0.0449059081497944,0.02776513427401,0.0287216731906403,110,2.4,0,0,2,2,195,1,89,7728006.62921348,90,72.6,3,3,"nis1morethanM",0.995713404294292,0.00525109307897536,0.0081362215590079,67.6962503070031,0.00911940213640253,"littlem_3_bigm_3_n4_nis1morethanM",0.00822202015310513,0.00426451918119331,0.00360935278617422,"bony fishes","#A6CEE3"
"Cranchia_scabra","bioprj_PRJNA573759_Cranchia-scabra",31.2626829268293,26.99,40,5.83412408857809,-65.395,46.7456,48,26,9,18,48,2,26,2,9,1,18,2,21111,23347,2935,17754.5533163772,20007.9095987311,2377.86807022706,0.139027047510776,0.133930041936547,0.125712082922859,0.118846402143774,15,NA,1,NA,2,2,119,1,41,3225942.6097561,142,99.1,3,6,"nis1morethanM",0.98768318568598,0.0122244951910582,8.55765670744836e-06,235.216188130468,0.00707073691030307,"littlem_3_bigm_6_n7_nis1morethanM",0.0257268473780387,0.0120598128094552,0.00816428393109108,"molluscs","#E31A1C"
"Ctenolabrus_rupestris","bioprj_PRJNA508986_Ctenolabrus-rupestris",56.0495435,43.222174,67.443,55.1234387643947,36.005465,69.464576,9,3,1,5,9,4,3,2,1,1,5,3,3625,5917,3230,1793.57615021387,3976.55097818224,3045.59129423649,0.891034482758621,1,0.54588473888795,0.765887652628231,18,0.86,0,0,2,2,20.9,1,60,30068723.6333333,151,11.6,3,3,"nis1lessthanM",0.999572394890331,0.00141154123752651,0.00875163431410241,697.835566578396,0.0349593327029486,"littlem_3_bigm_3_n2_nis1lessthanM",0.000846894545392587,0.000429621330206258,0.000752279033346629,"bony fishes","#A6CEE3"
"Dascyllus_trimaculatus","bioprj_PRJNA590458_Dascyllus-trimaculatus",0.7427905625,-22.401986,26.452064,6.69500277444682,-35,35.49815,76,28,6,12,76,12,28,7,6,2,12,5,16722,22233,11965,16284.122517298,19965.5432519866,10882.6154546837,0.715524458796795,0.668296092904207,0.538163990464625,0.545069839439548,14,2.1,0,0,1,2,24,1,128,1435535.5234375,92,12.7,3,3,"nis1morethanM",0.993392601294241,0.0154464330671989,2.63115638320307e-11,44.1494479010203,0.169662538164264,"littlem_3_bigm_3_n4_nis1morethanM",0.0117502639923956,0.00591502088226687,0.00471388145627049,"bony fishes","#A6CEE3"
"Ectopleura_larynx","bioprj_PRJNA420851_Ectopleura-larynx",46.5177987172131,43.94277778,54.48916,53.7538979796391,37.841278,69.720186,13,6,3,7,13,2,6,2,3,1,7,2,5184,8167,4974,4888.90155619245,7423.55080669472,4630.92707399699,0.959490740740741,0.947232629000537,0.609036365862618,0.623815636827152,6,NA,0,0,2,2,0,1,122,1488246.21311475,83,92.5,3,3,"nis1morethanM",0.982133958344483,0.00776245967397261,3.92231901751548e-09,10.5499993276842,0.662068528845981,"littlem_3_bigm_3_n4_nis1morethanM",0.00807248059006322,0.00894207015960605,0.00412066306441009,"cnidarians","#FF7F00"
"Engraulis_encrasicolus","bioprj_PRJNA311981_Engraulis-encrasicolus",43.66045375,43.176137,44.640544,38.8777544955781,-12.62,63.880684,23,8,4,9,23,2,8,2,4,1,9,3,8711,23597,2952,6059.67257442486,8517.16368335561,501.832980220943,0.338881873493284,0.0828151973654407,0.125100648387507,0.0589201991270443,21,1.5,0,0,2,2,100,1,128,4505141.8828125,95,88.3,3,3,"nis1morethanM",0.991251091644834,0.00838447274513131,0.0264204758003225,1078.64593434244,0.0442613425804941,"littlem_3_bigm_3_n4_nis1morethanM",0.0176015757819067,0.00861353353425715,0.0048422384321744,"bony fishes","#A6CEE3"
"Eudyptes_chrysolophus","bioprj_PRJNA523574_Eudyptes-chrysolophus",-52.1032339552239,-61.216667,-45.416667,53.1533163556667,-77.9667,-32.033333,30,14,5,8,30,6,14,2,5,1,8,1,7844,13124,6993,7461.45315191326,12569.5357098461,6758.02721356151,0.891509433962264,0.905725342767665,0.532840597378848,0.537651299901851,60,80,0,1,1,0,0,0,67,1793511.89552239,91,101.2,3,3,"nis1morethanM",0.997752140914143,0.00223105119249683,0.00674479669434104,524.14984564272,0.00737191065785683,"littlem_3_bigm_3_n4_nis1morethanM",0.00390938832472339,0.00223787414783413,0.00203175329604786,"sauropsida","#1F78B4"
"Eukrohnia_hamata","bioprj_PRJNA576675_Eukrohnia-hamata",75.5096875,60.83,89.2,2.86343224467388,-77.725,89.84255,51,20,9,18,51,4,20,2,9,2,18,3,19839,21256,4198,18502.3750119466,20026.1582001418,3951.86700654869,0.21160340742981,0.213587012694157,0.197497177267595,0.197335253574533,3,NA,0,0,2,2,730,1,96,509202.416666667,90,22.3,3,3,"nis1lessthanM",0.995879341068061,0.00409328806438166,8.03868647117311e-06,284.446284796712,0.00697571461363636,"littlem_3_bigm_3_n2_nis1lessthanM",0.0107453525940038,0.0041184817066209,0.00416935113177135,"not assigned","#C2C0C0"
"Exaiptasia_diaphana","bioprj_PRJNA394157_Exaiptasia-diaphana",9.52200777586207,8.91618,29.900922,21.8337336714286,-34.820303,40.83333,39,20,9,12,39,4,20,4,9,4,12,2,20473,23542,20204,15465.1547643295,19979.985730643,8225.40821790559,0.986860743418161,0.531867177745779,0.858210857191403,0.411682387004432,2.5,0.09,0,0,2,2,35,1,116,1187891.99137931,38,52,3,3,"nis1morethanM",0.99215003407274,0.00777442170023281,0.000175382981272454,230.551630506459,0.00933069132598011,"littlem_3_bigm_3_n4_nis1morethanM",0.0107155841186872,0.00793604482466763,0.0156389846021247,"cnidarians","#FF7F00"
"Fibramia_amboinensis","bioprj_PRJDB7819_Fibramia-amboinensis",24.9225761632653,24.382934,26.556664,7.431992625,-20.15,28.251944,16,8,2,4,16,1,8,1,2,1,4,3,6694,9535,500,6548.16482062352,8840.03762240367,493.188931901571,0.0746937556020317,0.0753171224933537,0.0524383848977451,0.0557903657165058,7,NA,0,0,0,2,0,0,98,1233300.25510204,90,14.4,3,3,"nis1morethanM",0.99851112125209,0.00184592881318662,0.001980778961524,826.504265686306,0.0604216991931396,"littlem_3_bigm_3_n4_nis1morethanM",0.00236824264586777,0.00184777552775259,0.00187587812115636,"bony fishes","#A6CEE3"
