"link","run_acc_sra","lat","lon","coordinateUncertaintyInMeters","origin","species"
"PRJDB7819_Fibramia-amboinensis","DRR163930",26.556664,128.069563,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163981",26.556664,128.069563,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163885",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163904",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163956",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163924",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163936",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163895",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163898",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163917",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163966",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163971",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163886",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163927",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163938",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163975",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163973",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163942",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163947",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163937",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163907",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163980",24.382934,124.250949,1000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163969",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163901",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163962",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163887",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163921",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163890",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163914",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163932",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163949",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163952",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163968",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163916",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163943",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163911",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163960",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163900",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163958",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163918",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163909",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Fibramia-amboinensis","DRR163892",24.410525,123.775562,2000,"datathon","Fibramia_amboinensis"
"PRJDB7819_Lutjanus-fulvus","DRR164027",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164033",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164003",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164021",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163993",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164011",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164020",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164026",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163984",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163989",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163998",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164037",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164010",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163997",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163996",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163987",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164024",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164000",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164002",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164039",24.486196,124.230567,1000,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164009",26.606974,128.140583,1500,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163995",26.606974,128.140583,1500,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164008",26.606974,128.140583,1500,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163988",26.606974,128.140583,1500,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163985",26.606974,128.140583,1500,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164007",26.606974,128.140583,1500,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR164035",26.606974,128.140583,1500,"datathon","Lutjanus_fulvus"
"PRJDB7819_Lutjanus-fulvus","DRR163994",26.606974,128.140583,1500,"datathon","Lutjanus_fulvus"
