"link","species","meanlat.genetic","minlat.genetic","maxlat.genetic","meanlat.gbif","minlat.gbif","maxlat.gbif","n_ECOREGIONS.all","n_PROVINCES.all","n_REALMS.all","n_Realm_Costello.all","n_ECOREGIONS.gbif","n_ECOREGIONS.genetic","n_PROVINCES.gbif","n_PROVINCES.genetic","n_REALMS.gbif","n_REALMS.genetic","n_Realm_Costello.gbif","n_Realm_Costello.genetic","maxgbif.sea_km","maxgenetic.sea_km","maxgbif.gcd_km","maxgenetic.gcd_km","ratio.sea","ratio.gcd","Body_Size","Fecundity_EggSize","Generational_Structure","ReturnToSpawningGround","Spawning_mode","Larval_feeding","PLD_point2","isPlanktonic_atanypoint","s","nugget","m","nbhd","inDeme","stacksparams"
"bioprj_PRJDB7819_Fibramia-amboinensis","Fibramia_amboinensis",24.9225761632653,24.382934,26.556664,7.431992625,-20.15,28.251944,16,8,2,4,16,1,8,1,2,1,4,3,6694,500,6548.16482062352,493.188931901571,0.0746937556020317,0.0753171224933537,7,NA,0,0,0,2,0,0,0.998152920939775,0.998152920939775,0.0578297916178438,0.857526410267734,0.000194496608904545,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJDB7819_Lutjanus-fulvus","Lutjanus_fulvus",25.1722080508475,24.410525,26.606974,1.76746051380042,-33.833,35.222132,71,30,7,12,71,1,30,1,7,1,12,2,14703,505,14234.673288559,502.064340395635,0.0343467319594641,0.0352705208063445,40,0.8,0,0,2,2,NA,1,0.996244302498326,0.996244302498326,0.251436443130784,23.4390481993967,0.000619994176620385,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJDB7819_Zenarchopterus-dunckeri","Zenarchopterus_dunckeri",24.4706352,24.313183,24.760338,4.71450304,-15.523,23.02,11,6,1,3,10,1,5,1,1,1,3,2,7156.19999999999,175,6903.13865205338,167.060669648617,0.0244543193314888,0.0242006829167373,14,2,0,0,0,0,0,1,0.992673829557027,0.992673829557027,0.191195222542769,16.2087614625193,0.057058990954954,"littlem_3_bigm_9_n10_nis1morethanM"
"bioprj_PRJNA294760_Amphiprion-bicinctus","Amphiprion_bicinctus",20.9150776699029,11.721,28.404,25.435567,-5.420556,29.557669,6,3,1,2,6,3,3,1,1,1,2,2,12692,3118,9779.2892991989,2650.32133709216,0.245666561613615,0.271013695985992,14,3,0,0,1,2,11,1,0.99694600755737,0.99694600755737,6.27405709953644e-11,55.9694125495937,0.132410591825964,"littlem_3_bigm_3_n2_nis1lessthanM"
"bioprj_PRJNA311981_Engraulis-encrasicolus","Engraulis_encrasicolus",43.66045375,43.176137,44.640544,38.8777544955781,-12.62,63.880684,23,8,4,9,23,2,8,2,4,1,9,3,9177,2952,6413.0403022897,501.832980220943,0.32167374959137,0.0782519610927394,21,1.5,0,0,2,2,100,1,0.991250665111351,0.991250665111351,0.110770200195039,13.3718433783442,0.0443297675688019,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJNA316872_Sebastes-rastrelliger","Sebastes_rastrelliger",36.4195416666667,32.667,42,35.4302982516447,28.866667,47.34438,3,2,1,2,3,3,2,2,1,1,2,1,1004,1302,955.503095130398,1207.19173853321,1.29681274900398,1.26340955323484,56,NA,0,0,0,2,135,1,0.998816227223489,0.998816227223489,0.122406637312579,14.2193176858782,0.000986418098492413,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJNA361144_Agaricia-fragilis","Agaricia_fragilis",32.3015694230769,32.22993,32.37007,19.6345228984375,-17.266666,32.349998,12,3,2,3,12,1,3,1,2,1,3,1,3545,33,3442.49926078057,27.9650293541985,0.00930888575458392,0.00812346706150275,4.74,0.4,0,0,2,1,10,1,0.997422059574213,0.997422059574213,5.79454873807709e-05,96.0171414448517,0.0364668703894629,"littlem_3_bigm_9_n10_nis1morethanM"
"bioprj_PRJNA361144_Stephanocoenia-intersepta","Stephanocoenia_intersepta",31.933235706422,12.183581,32.37007,19.8736460289122,-19.15,32.349998,14,5,4,5,14,2,5,1,4,1,5,2,3210,2323,3072.11509475476,2286.43987870606,0.723676012461059,0.744255930583416,60,0.32,0,0,2,1,NA,1,0.992314526104445,0.992314526104445,0.293067386269274,27.2747388284147,0.000833732260854157,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJNA371817_Ostrea-lurida","Ostrea_lurida",47.8018243333333,47.105889,48.475306,48.9512448150948,28.0357,52.201967,6,2,1,2,6,5,2,2,1,1,2,1,2092,188,1885.2140726348,156.889605804808,0.0898661567877629,0.0832211089881886,3.5,0.1,0,0,0,2,NA,1,0.994693837891588,0.994693837891588,0.0836598883653508,12.9143937200989,0.0525339296308876,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJNA385011_Siphamia-tubifer","Siphamia_tubifer",26.4579148928571,26.09511,26.84876,-5.24145279701492,-28.44166,29.771389,39,20,5,9,39,1,20,1,5,1,9,1,12356,166,11351.627578439,155.666138227292,0.013434768533506,0.0137131118116455,4.35,0.76,0,0,0,2,30,1,0.996686568926547,0.996686568926547,0.310828457490784,27.5619999788833,0.000513461135773099,"littlem_3_bigm_3_n3_nequalM"
