"organism_biosamp_ncbitaxonomy-via-taxize","superkingdom_ncbitaxonomy-via-taxize","kingdom_ncbitaxonomy-via-taxize","phylum_ncbitaxonomy-via-taxize","subphylum_ncbitaxonomy-via-taxize","superclass_ncbitaxonomy-via-taxize","class_ncbitaxonomy-via-taxize","subclass_ncbitaxonomy-via-taxize","superorder_ncbitaxonomy-via-taxize","order_ncbitaxonomy-via-taxize","suborder_ncbitaxonomy-via-taxize","infraorder_ncbitaxonomy-via-taxize","superfamily_ncbitaxonomy-via-taxize","family_ncbitaxonomy-via-taxize","genus_ncbitaxonomy-via-taxize","species_ncbitaxonomy-via-taxize","infraclass_ncbitaxonomy-via-taxize","cohort_ncbitaxonomy-via-taxize","subfamily_ncbitaxonomy-via-taxize","parvorder_ncbitaxonomy-via-taxize","subcohort_ncbitaxonomy-via-taxize","tribe_ncbitaxonomy-via-taxize","subspecies_ncbitaxonomy-via-taxize"
"Porites compressa","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Fungiina",NA,NA,"Poritidae","Porites","Porites compressa",NA,NA,NA,NA,NA,NA,NA
"Pygoscelis adeliae","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,NA,"Sphenisciformes",NA,NA,NA,"Spheniscidae","Pygoscelis","Pygoscelis adeliae","Neognathae",NA,NA,NA,NA,NA,NA
"Pygoscelis antarcticus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,NA,"Sphenisciformes",NA,NA,NA,"Spheniscidae","Pygoscelis","Pygoscelis antarcticus","Neognathae",NA,NA,NA,NA,NA,NA
"Pygoscelis papua","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,NA,"Sphenisciformes",NA,NA,NA,"Spheniscidae","Pygoscelis","Pygoscelis papua","Neognathae",NA,NA,NA,NA,NA,NA
"Pyroteuthis margaritifera","Eukaryota","Metazoa","Mollusca",NA,NA,"Cephalopoda","Coleoidea","Decapodiformes","Teuthida","Oegopsina",NA,NA,"Pyroteuthidae","Pyroteuthis","Pyroteuthis margaritifera",NA,NA,NA,NA,NA,NA,NA
"Rhizophora mangle","Eukaryota","Viridiplantae","Streptophyta","Streptophytina",NA,"Magnoliopsida",NA,NA,"Malpighiales",NA,NA,NA,"Rhizophoraceae","Rhizophora","Rhizophora mangle",NA,NA,NA,NA,NA,NA,NA
"Robustosergia robusta","Eukaryota","Metazoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Dendrobranchiata",NA,"Sergestoidea","Sergestidae","Robustosergia","Robustosergia robusta",NA,NA,NA,NA,NA,NA,NA
"Sargassum muticum","Eukaryota",NA,NA,NA,NA,"Phaeophyceae",NA,NA,"Fucales",NA,NA,NA,"Sargassaceae","Sargassum","Sargassum muticum",NA,NA,NA,NA,NA,NA,NA
"Scomber scombrus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Scombriformes",NA,NA,NA,"Scombridae","Scomber","Scomber scombrus","Teleostei","Euteleosteomorpha","Scombrinae",NA,NA,"Scombrini",NA
"Sebastes diaconus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Perciformes","Scorpaenoidei",NA,NA,"Sebastidae","Sebastes","Sebastes diaconus","Teleostei","Euteleosteomorpha","Sebastinae",NA,NA,NA,NA
"Sebastes paucispinis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Perciformes","Scorpaenoidei",NA,NA,"Sebastidae","Sebastes","Sebastes paucispinis","Teleostei","Euteleosteomorpha","Sebastinae",NA,NA,NA,NA
"Sebastes pinniger","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Perciformes","Scorpaenoidei",NA,NA,"Sebastidae","Sebastes","Sebastes pinniger","Teleostei","Euteleosteomorpha","Sebastinae",NA,NA,NA,NA
"Sebastes rastrelliger","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Perciformes","Scorpaenoidei",NA,NA,"Sebastidae","Sebastes","Sebastes rastrelliger","Teleostei","Euteleosteomorpha","Sebastinae",NA,NA,NA,NA
"Sebastes ruberrimus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Perciformes","Scorpaenoidei",NA,NA,"Sebastidae","Sebastes","Sebastes ruberrimus","Teleostei","Euteleosteomorpha","Sebastinae",NA,NA,NA,NA
"Sebastiscus marmoratus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Perciformes","Scorpaenoidei",NA,NA,"Sebastidae","Sebastiscus","Sebastiscus marmoratus","Teleostei","Euteleosteomorpha","Sebastinae",NA,NA,NA,NA
"Seriola dorsalis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Carangiformes",NA,NA,NA,"Carangidae","Seriola","Seriola lalandi","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,"Seriola lalandi dorsalis"
"Siphamia tubifer","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Kurtiformes","Apogonoidei",NA,NA,"Apogonidae","Siphamia","Siphamia tubifer","Teleostei","Euteleosteomorpha","Apogoninae",NA,NA,NA,NA
"Sphyrna tiburo","Eukaryota","Metazoa","Chordata","Craniata",NA,"Chondrichthyes","Elasmobranchii","Galeoidea","Carcharhiniformes",NA,NA,NA,"Carcharhinidae","Sphyrna","Sphyrna tiburo","Selachii",NA,NA,NA,NA,NA,NA
"Stegastes beebei","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,NA,NA,NA,NA,"Pomacentridae","Stegastes","Stegastes beebei","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Stegastes leucorus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,NA,NA,NA,NA,"Pomacentridae","Stegastes","Stegastes leucorus","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Stephanocoenia intersepta","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Astrocoeniina",NA,NA,"Astrocoeniidae","Stephanocoenia","Stephanocoenia intersepta",NA,NA,NA,NA,NA,NA,NA
"Strombus pugilis","Eukaryota","Metazoa","Mollusca",NA,NA,"Gastropoda","Caenogastropoda",NA,"Littorinimorpha",NA,NA,"Stromboidea","Strombidae","Strombus","Strombus pugilis",NA,NA,NA,NA,NA,NA,NA
"Symphodus melops","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Labriformes",NA,NA,NA,"Labridae","Symphodus","Symphodus melops","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Symphodus tinca","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Labriformes",NA,NA,NA,"Labridae","Symphodus","Symphodus tinca","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Systellaspis debilis","Eukaryota","Metazoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Caridea","Oplophoroidea","Oplophoridae","Systellaspis","Systellaspis debilis",NA,NA,NA,NA,NA,NA,NA
"Thunnus thynnus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Scombriformes",NA,NA,NA,"Scombridae","Thunnus","Thunnus thynnus","Teleostei","Euteleosteomorpha","Scombrinae",NA,NA,"Thunnini",NA
"Trachidermus fasciatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Perciformes","Cottioidei","Cottales",NA,"Cottidae","Trachidermus","Trachidermus fasciatus","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Uria aalge","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Alcidae","Uria","Uria aalge","Neognathae",NA,NA,NA,NA,NA,NA
"Uria lomvia","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Aves",NA,NA,"Charadriiformes",NA,NA,NA,"Alcidae","Uria","Uria lomvia","Neognathae",NA,NA,NA,NA,NA,NA
"Vampyroteuthis infernalis","Eukaryota","Metazoa","Mollusca",NA,NA,"Cephalopoda","Coleoidea","Octopodiformes","Vampyromorpha",NA,NA,NA,"Vampyroteuthidae","Vampyroteuthis","Vampyroteuthis infernalis",NA,NA,NA,NA,NA,NA,NA
"Zalophus wollebaeki","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Laurasiatheria","Carnivora","Caniformia",NA,NA,"Otariidae","Zalophus","Zalophus wollebaeki",NA,NA,NA,NA,NA,NA,NA
