"organism_biosamp_ncbitaxonomy-via-taxize","superkingdom_ncbitaxonomy-via-taxize","kingdom_ncbitaxonomy-via-taxize","phylum_ncbitaxonomy-via-taxize","subphylum_ncbitaxonomy-via-taxize","superclass_ncbitaxonomy-via-taxize","class_ncbitaxonomy-via-taxize","subclass_ncbitaxonomy-via-taxize","superorder_ncbitaxonomy-via-taxize","order_ncbitaxonomy-via-taxize","suborder_ncbitaxonomy-via-taxize","infraorder_ncbitaxonomy-via-taxize","superfamily_ncbitaxonomy-via-taxize","family_ncbitaxonomy-via-taxize","genus_ncbitaxonomy-via-taxize","species_ncbitaxonomy-via-taxize","infraclass_ncbitaxonomy-via-taxize","cohort_ncbitaxonomy-via-taxize","subfamily_ncbitaxonomy-via-taxize","parvorder_ncbitaxonomy-via-taxize","subcohort_ncbitaxonomy-via-taxize","tribe_ncbitaxonomy-via-taxize","subspecies_ncbitaxonomy-via-taxize"
"Galaxea fascicularis","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Faviina",NA,NA,"Euphylliidae","Galaxea","Galaxea fascicularis",NA,NA,NA,NA,NA,NA,NA
"Galaxea horrescens","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Faviina",NA,NA,"Euphylliidae","Galaxea","Galaxea horrescens",NA,NA,NA,NA,NA,NA,NA
"Galaxias maculatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Galaxiiformes",NA,NA,NA,"Galaxiidae","Galaxias","Galaxias maculatus","Teleostei","Euteleosteomorpha","Galaxiinae",NA,NA,"Galaxiini",NA
"Gasterosteus aculeatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Perciformes","Cottioidei","Gasterosteales",NA,"Gasterosteidae","Gasterosteus","Gasterosteus aculeatus","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Holacanthus passer","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,NA,NA,NA,NA,"Pomacanthidae","Holacanthus","Holacanthus passer","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Homarus americanus","Eukaryota","Metazoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Astacidea","Nephropoidea","Nephropidae","Homarus","Homarus americanus",NA,NA,NA,NA,NA,NA,NA
"Idotea baltica","Eukaryota","Metazoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda","Valvifera",NA,NA,"Idoteidae","Idotea","Idotea baltica",NA,NA,NA,NA,NA,NA,NA
"Isocladus armatus","Eukaryota","Metazoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Peracarida","Isopoda",NA,NA,NA,"Sphaeromatidae","Isocladus","Isocladus armatus",NA,NA,NA,NA,NA,NA,NA
"Istiblennius lineatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Blenniiformes","Blennioidei",NA,NA,"Blenniidae","Istiblennius","Istiblennius lineatus","Teleostei","Euteleosteomorpha","Salariinae",NA,NA,NA,NA
"Lagenorhynchus acutus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Laurasiatheria","Artiodactyla","Whippomorpha","Cetacea",NA,"Delphinidae","Lagenorhynchus","Lagenorhynchus acutus",NA,NA,NA,"Odontoceti",NA,NA,NA
