"organism_biosamp","PLD_point","PLD_Min","PLD_Max","PLD_point2","isPlanktonic_atanypoint","Spawning_mode","Larval_feeding","ReturnToSpawningGround","Fecundity_EggSize","Body_Size","Generational_Structure","isBenthic","Large_Adult_Range","isInvert","isFish","isAmniote","isPlant","isCoral"
"Chlorostoma funebralis","6","5","13","6","T","F","P","F","0.16","5","I","S","T","T","F","F","F","0"
"Coryphaenoides rupestris","195","180","210","195","T","F","P","F","2.4","110","I","S","T","F","T","F","F","0"
"Cranchia scabra","119","72","166","119","T","F","P",NA,NA,"15","S","N","T","T","F","F","F","0"
"Ctenolabrus rupestris","20.9","18","28","20.9","T","F","P","F","0.86","18","I","S","F","F","T","F","F","0"
"Dascyllus trimaculatus","24","21","28","24","T","N","P","F","2.1","14","I","S","F","F","T","F","F","0"
"Ectopleura larynx","0","0","0","0","F","I","N","F",NA,"6","I","A","F","T","F","F","F","0"
"Engraulis encrasicolus","100",NA,NA,"100","T","F","P","F","1.5","21","I","N","T","F","T","F","F","0"
"Eudyptes chrysolophus","0","0","0","0","F","N","N","T","80","60","I","S","T","F","F","T","F","0"
"Eukrohnia hamata",NA,NA,NA,NA,"T","F","P","F",NA,"3","I","N","T","T","F","F","F","0"
"Exaiptasia pallida","35","30","40","35","T","F","P","F","0.09","2.5","I","S","F","T","F","F","F","0"
"Fibramia amboinensis","0","0",NA,"0","F","I","N","F",NA,"7","I","A","F","F","T","F","F","0"
"Gadus macrocephalus","52.5","45","60","52.5","T","F","P","F","1.1","122","I","N","T","F","T","F","F","0"
"Gadus morhua","55","90","110","55","T","F","P","T","1.52","200","I","N","T","F","T","F","F","0"
"Galaxea fascicularis","3","3","5","3","T","F","L","F","0.45","500","I","S","F","T","F","F","F","1"
"Galaxias maculatus","150","120","180","150","T","N","P","F","1","12","S","S","T","F","T","F","F","0"
"Halichoerus grypus atlantica","0","0","0","0","F","I","N","T",NA,"200","I","S","T","F","F","T","F","0"
"Holacanthus passer","25",NA,NA,"25","T","F","P","F",NA,"36","I","S","F","F","T","F","F","0"
"Homarus americanus","12","8","16","12","T","I","P","F","2","64","I","S","F","T","F","F","F","0"
"Istiblennius lineatus","47","23","71","47","T","N","P","F",NA,"15","I","S","F","F","T","F","F","0"
"Lagenorhynchus acutus","0","0","0","0","F","I","N","F",NA,"300","I","N","T","F","F","T","F","0"
"Laguncularia racemosa",NA,NA,NA,NA,"T","F","N","F",NA,"93.1","I","S","F","F","F","F","T","0"
"Larimichthys polyactis","66",NA,NA,"66","T","F","P","F","1.1","26","I","S","F","F","T","F","F","0"
"Lateolabrax maculatus","59.5","49","70","59.5","T","F","P","F","0.4","102","I","S","T","F","T","F","F","0"
"Leptopsammia pruvoti","1705708800",NA,NA,"10","T","I","L","F","0.68","0.6","I","S","F","T","F","F","F","1"
"Lutjanus campechanus","34","21","47","34","T","F","P","F","0.258151933","100","I","S","F","F","T","F","F","0"
"Lutjanus fulvus","34","21","47","34","T","F","P","F","0.8","40","I","S","F","F","T","F","F","0"
"Montipora capitata","7",NA,NA,"7","T","F","P","F","0.39","20","I","S","F","T","F","F","F","1"
"Nautilus pompilius","0",NA,NA,"0","F","I","N",NA,"26","25","I","N","T","T","F","F","F","0"
"Orbicella faveolata","20","3","120","20","T","F","L","F","0.25","83","I","S","F","T","F","F","F","1"
"Ostrea lurida","9.5",NA,NA,"9.5","T","I","P","F","0.1","3.5","I","S","F","T","F","F","F","0"
"Paracentrotus lividus","21-30","20","40","30","T","F","P","F","66","7.5","I","S","F","T","F","F","F","0"
"Paracirrhites forsteri","60.5","48","73","60.5","T","F","P","T",NA,"22","I","S","F","F","T","F","F","0"
"Paralichthys dentatus","24",NA,NA,"24","T","F","P","T","0.82","94","I","S","T","F","T","F","F","0"
"Penaeus duorarum","15","15","30","15","T","I","P","F","0.3","28","I","N","T","T","F","F","F","0"
"Phocoena phocoena","0","0","0","0","F","I","N","F",NA,"190","I","N","T","F","F","T","F","0"
"Phocoena sinus","0","0","0","0","F","I","N","F",NA,"150","I","N","T","F","F","T","F","0"
"Pisaster ochraceus","151","76","226","151","T","F","P","F","0.15","25","I","S","F","T","F","F","F","0"
"Planes minutus",NA,NA,NA,NA,"T","I","P","F",NA,"1","I","N","T","T","F","F","F","0"
"Platichthys flesus","29",NA,NA,"29","T","F","P","T","0.95","60","I","S","T","F","T","F","F","0"
"Pocillopora damicornis","6","1","100","6","T","F","P","F","0.11","10","I","S","F","T","F","F","F","1"
"Pomacanthus maculosus","22","20","24","22","T","F","P","F","0.61","50","I","S","F","F","T","F","F","0"
"Porites astreoides","10","3","30","10","T","I","P","F","0.2","55","I","S","F","T","F","F","F","1"
"Porites compressa","3",NA,NA,"3","T","F","P","F","0.13","123","I","S","F","T","F","F","F","1"
"Pygoscelis adeliae","0","0","0","0","F","N","N","T","80","70","I","S","T","F","F","T","F","0"
"Pygoscelis antarcticus","0","0","0","0","F","N","N","T","80","75","I","S","T","F","F","T","F","0"
"Pygoscelis papua","0","0","0","0","F","N","N","T","80","90","I","S","T","F","F","T","F","0"
"Pyroteuthis margaritifera",NA,NA,NA,NA,"T","I","P",NA,"0.9","3","S","N","T","T","F","F","F","0"
"Rhizophora mangle","182.5","0","365","182.5","T","I","L","F","25","2400","I","S","F","F","F","F","T","0"
"Robustosergia robusta",NA,NA,NA,NA,"T","I","P","F",NA,"0.5","S","N","T","T","F","F","F","0"
"Sargassum muticum",NA,NA,NA,NA,"T","I","N","F",NA,"1600","I","S","F","F","F","F","F","0"
"Scomber scombrus",NA,NA,NA,NA,"T","F","P","T","1.15","50","I","N","T","F","T","F","F","0"
"Sebastes diaconus","135","90","180","135","T","I","P","F",NA,"33","I","S","F","F","T","F","F","0"
"Sebastes paucispinis","135","90","180","135","T","I","P","F",NA,"91","I","S","F","F","T","F","F","0"
"Sebastes pinniger","135","90","180","135","T","I","P","F",NA,"76","I","S","F","F","T","F","F","0"
"Sebastes rastrelliger","135","90","180","135","T","I","P","F",NA,"56","I","S","F","F","T","F","F","0"
"Sebastes ruberrimus","135","90","180","135","T","I","P","F",NA,"104","I","S","F","F","T","F","F","0"
"Sebastiscus marmoratus","135","90","180","135","T","I","P","F",NA,"36","I","S","F","F","T","F","F","0"
"Seriola dorsalis",NA,NA,NA,NA,"T","F","P","F","1.4","250","I","N","T","F","T","F","F","0"
"Siphamia tubifer","30",NA,NA,"30","T","I","P","F","0.76","4.35","I","S","F","F","T","F","F","0"
"Sphyrna tiburo","0","0","0","0","F","I","N","T",NA,"150","I","N","T","F","T","F","F","0"
"Stegastes beebei","31.2",NA,NA,"31.2","T","N","P","F",NA,"15","I","S","F","F","T","F","F","0"
"Stegastes leucorus","31.7",NA,NA,"31.7","T","N","P","F",NA,"14","I","S","F","F","T","F","F","0"
"Stephanocoenia intersepta",NA,NA,NA,NA,"T","I","L","F","0.32","60","I","S","F","T","F","F","F","1"
"Systellaspis debilis","28","27","29","28","T","I","L","F","3.6","1.5","I","N","F","T","F","F","F","0"
"Uria aalge","0","0","0","0","F","N","N","T","80","45","I","S","T","F","F","T","F","0"
"Uria lomvia","0","0","0","0","F","N","N","T","80","48","I","S","T","F","F","T","F","0"
"Vampyroteuthis infernalis",NA,NA,NA,NA,"T","I","P","F","3.5","20","I","N","T","T","F","F","F","0"
"Zalophus wollebaeki","0","0","0","0","F","I","N","T",NA,"250","I","S","T","F","F","T","F","0"
"Zebrasoma flavescens","70","58","85","70","T","F","P","F","0.75","20","I","S","F","F","T","F","F","0"
"Zebrasoma scopas","60",NA,NA,"60","T","F","P","F","0.63","40","I","S","F","F","T","F","F","0"
"Zenarchopterus dunckeri",NA,"0","0",NA,"T","I","N","F","2","14","I","N","T","F","T","F","F","0"
