run_name,sampid_assigned_for_bioinf
bioprj_PRJNA348572_Zalophus-wollebaeki,sample152
bioprj_PRJNA348572_Zalophus-wollebaeki,sample153
bioprj_PRJNA348572_Zalophus-wollebaeki,sample155
bioprj_PRJNA348572_Zalophus-wollebaeki,sample156
bioprj_PRJNA348572_Zalophus-wollebaeki,sample159
bioprj_PRJNA348572_Zalophus-wollebaeki,sample16
bioprj_PRJNA348572_Zalophus-wollebaeki,sample161
bioprj_PRJNA348572_Zalophus-wollebaeki,sample162
bioprj_PRJNA348572_Zalophus-wollebaeki,sample164
bioprj_PRJNA348572_Zalophus-wollebaeki,sample167
bioprj_PRJNA348572_Zalophus-wollebaeki,sample168
bioprj_PRJNA348572_Zalophus-wollebaeki,sample172
bioprj_PRJNA348572_Zalophus-wollebaeki,sample174
bioprj_PRJNA348572_Zalophus-wollebaeki,sample175
bioprj_PRJNA348572_Zalophus-wollebaeki,sample178
bioprj_PRJNA348572_Zalophus-wollebaeki,sample18
bioprj_PRJNA348572_Zalophus-wollebaeki,sample180
bioprj_PRJNA348572_Zalophus-wollebaeki,sample181
bioprj_PRJNA348572_Zalophus-wollebaeki,sample183
bioprj_PRJNA348572_Zalophus-wollebaeki,sample184
bioprj_PRJNA348572_Zalophus-wollebaeki,sample187
bioprj_PRJNA348572_Zalophus-wollebaeki,sample189
bioprj_PRJNA348572_Zalophus-wollebaeki,sample190
bioprj_PRJNA348572_Zalophus-wollebaeki,sample192
bioprj_PRJNA348572_Zalophus-wollebaeki,sample197
bioprj_PRJNA348572_Zalophus-wollebaeki,sample198
bioprj_PRJNA348572_Zalophus-wollebaeki,sample20
bioprj_PRJNA348572_Zalophus-wollebaeki,sample201
bioprj_PRJNA348572_Zalophus-wollebaeki,sample203
bioprj_PRJNA348572_Zalophus-wollebaeki,sample205
bioprj_PRJNA348572_Zalophus-wollebaeki,sample207
bioprj_PRJNA348572_Zalophus-wollebaeki,sample209
bioprj_PRJNA348572_Zalophus-wollebaeki,sample21
bioprj_PRJNA348572_Zalophus-wollebaeki,sample210
bioprj_PRJNA348572_Zalophus-wollebaeki,sample24
bioprj_PRJNA348572_Zalophus-wollebaeki,sample25
bioprj_PRJNA348572_Zalophus-wollebaeki,sample28
bioprj_PRJNA348572_Zalophus-wollebaeki,sample30
bioprj_PRJNA348572_Zalophus-wollebaeki,sample31
bioprj_PRJNA348572_Zalophus-wollebaeki,sample34
bioprj_PRJNA348572_Zalophus-wollebaeki,sample35
bioprj_PRJNA348572_Zalophus-wollebaeki,sample38
bioprj_PRJNA348572_Zalophus-wollebaeki,sample4
bioprj_PRJNA348572_Zalophus-wollebaeki,sample40
bioprj_PRJNA348572_Zalophus-wollebaeki,sample42
bioprj_PRJNA348572_Zalophus-wollebaeki,sample43
bioprj_PRJNA348572_Zalophus-wollebaeki,sample45
bioprj_PRJNA348572_Zalophus-wollebaeki,sample47
bioprj_PRJNA348572_Zalophus-wollebaeki,sample49
bioprj_PRJNA348572_Zalophus-wollebaeki,sample5
bioprj_PRJNA348572_Zalophus-wollebaeki,sample52
bioprj_PRJNA348572_Zalophus-wollebaeki,sample53
bioprj_PRJNA348572_Zalophus-wollebaeki,sample56
bioprj_PRJNA348572_Zalophus-wollebaeki,sample57
bioprj_PRJNA348572_Zalophus-wollebaeki,sample59
bioprj_PRJNA348572_Zalophus-wollebaeki,sample62
bioprj_PRJNA348572_Zalophus-wollebaeki,sample64
bioprj_PRJNA348572_Zalophus-wollebaeki,sample65
bioprj_PRJNA348572_Zalophus-wollebaeki,sample67
bioprj_PRJNA348572_Zalophus-wollebaeki,sample69
bioprj_PRJNA348572_Zalophus-wollebaeki,sample71
bioprj_PRJNA348572_Zalophus-wollebaeki,sample74
bioprj_PRJNA348572_Zalophus-wollebaeki,sample75
bioprj_PRJNA348572_Zalophus-wollebaeki,sample78
bioprj_PRJNA348572_Zalophus-wollebaeki,sample79
bioprj_PRJNA348572_Zalophus-wollebaeki,sample8
bioprj_PRJNA348572_Zalophus-wollebaeki,sample82
bioprj_PRJNA348572_Zalophus-wollebaeki,sample83
bioprj_PRJNA348572_Zalophus-wollebaeki,sample85
bioprj_PRJNA348572_Zalophus-wollebaeki,sample9
bioprj_PRJNA348572_Zalophus-wollebaeki,sample90
bioprj_PRJNA348572_Zalophus-wollebaeki,sample92
bioprj_PRJNA348572_Zalophus-wollebaeki,sample94
bioprj_PRJNA348572_Zalophus-wollebaeki,sample96
bioprj_PRJNA348572_Zalophus-wollebaeki,sample98
bioprj_PRJNA511386_Ostrea-lurida,sample107
bioprj_PRJNA511386_Ostrea-lurida,sample113
bioprj_PRJNA511386_Ostrea-lurida,sample115
bioprj_PRJNA511386_Ostrea-lurida,sample116
bioprj_PRJNA511386_Ostrea-lurida,sample138
bioprj_PRJNA511386_Ostrea-lurida,sample139
bioprj_PRJNA511386_Ostrea-lurida,sample141
bioprj_PRJNA511386_Ostrea-lurida,sample15
bioprj_PRJNA511386_Ostrea-lurida,sample155
bioprj_PRJNA511386_Ostrea-lurida,sample16
bioprj_PRJNA511386_Ostrea-lurida,sample162
bioprj_PRJNA511386_Ostrea-lurida,sample163
bioprj_PRJNA511386_Ostrea-lurida,sample179
bioprj_PRJNA511386_Ostrea-lurida,sample18
bioprj_PRJNA511386_Ostrea-lurida,sample180
bioprj_PRJNA511386_Ostrea-lurida,sample181
bioprj_PRJNA511386_Ostrea-lurida,sample185
bioprj_PRJNA511386_Ostrea-lurida,sample199
bioprj_PRJNA511386_Ostrea-lurida,sample2
bioprj_PRJNA511386_Ostrea-lurida,sample207
bioprj_PRJNA511386_Ostrea-lurida,sample213
bioprj_PRJNA511386_Ostrea-lurida,sample216
bioprj_PRJNA511386_Ostrea-lurida,sample22
bioprj_PRJNA511386_Ostrea-lurida,sample221
bioprj_PRJNA511386_Ostrea-lurida,sample225
bioprj_PRJNA511386_Ostrea-lurida,sample230
bioprj_PRJNA511386_Ostrea-lurida,sample233
bioprj_PRJNA511386_Ostrea-lurida,sample24
bioprj_PRJNA511386_Ostrea-lurida,sample240
bioprj_PRJNA511386_Ostrea-lurida,sample243
bioprj_PRJNA511386_Ostrea-lurida,sample247
bioprj_PRJNA511386_Ostrea-lurida,sample251
bioprj_PRJNA511386_Ostrea-lurida,sample257
bioprj_PRJNA511386_Ostrea-lurida,sample26
bioprj_PRJNA511386_Ostrea-lurida,sample275
bioprj_PRJNA511386_Ostrea-lurida,sample28
bioprj_PRJNA511386_Ostrea-lurida,sample284
bioprj_PRJNA511386_Ostrea-lurida,sample29
bioprj_PRJNA511386_Ostrea-lurida,sample31
bioprj_PRJNA511386_Ostrea-lurida,sample33
bioprj_PRJNA511386_Ostrea-lurida,sample40
bioprj_PRJNA511386_Ostrea-lurida,sample55
bioprj_PRJNA511386_Ostrea-lurida,sample56
bioprj_PRJNA511386_Ostrea-lurida,sample6
bioprj_PRJNA511386_Ostrea-lurida,sample62
bioprj_PRJNA511386_Ostrea-lurida,sample63
bioprj_PRJNA511386_Ostrea-lurida,sample65
bioprj_PRJNA511386_Ostrea-lurida,sample67
bioprj_PRJNA511386_Ostrea-lurida,sample68
bioprj_PRJNA511386_Ostrea-lurida,sample72
bioprj_PRJNA511386_Ostrea-lurida,sample73
bioprj_PRJNA511386_Ostrea-lurida,sample76
bioprj_PRJNA511386_Ostrea-lurida,sample84
bioprj_PRJNA511386_Ostrea-lurida,sample90
bioprj_PRJNA511386_Ostrea-lurida,sample93
bioprj_PRJNA511386_Ostrea-lurida,sample99
