"species","n_ECOREGIONS.all","n_PROVINCES.all","n_REALMS.all","n_Realm_Costello.all","n_ECOREGIONS.gbif","n_ECOREGIONS.genetic","n_PROVINCES.gbif","n_PROVINCES.genetic","n_REALMS.gbif","n_REALMS.genetic","n_Realm_Costello.gbif","n_Realm_Costello.genetic"
"Pyroteuthis margaritifera",48,21,8,14,48,2,21,2,8,1,14,2
"Rhizophora mangle",31,11,5,7,31,13,11,5,5,3,7,4
"Robustosergia robusta",31,12,5,7,31,2,12,2,5,1,7,2
"Sargassum muticum",5,2,1,2,5,2,2,2,1,1,2,1
"Scomber scombrus",23,7,3,9,23,2,7,2,3,1,9,2
"Sebastes diaconus",3,1,1,1,3,1,1,1,1,1,1,1
"Sebastes paucispinis",8,3,2,2,8,3,3,1,2,1,2,1
"Sebastes pinniger",7,3,2,1,7,2,3,1,2,1,1,1
"Sebastes rastrelliger",3,2,1,2,3,3,2,2,1,1,2,1
"Sebastes ruberrimus",10,5,3,1,10,4,5,1,3,1,1,1
"Sebastiscus marmoratus",9,4,2,3,8,3,4,3,2,2,3,1
"Seriola lalandi dorsalis",7,4,3,2,7,2,4,1,3,1,2,2
"Siphamia tubifer",39,20,5,9,39,1,20,1,5,1,9,1
"Sphyrna tiburo",26,9,5,6,26,3,9,2,5,2,6,1
"Stegastes beebei",8,2,1,2,8,2,2,2,1,1,2,1
"Stegastes leucorus",9,4,3,3,9,2,4,2,3,2,3,1
"Stephanocoenia intersepta",10,2,2,4,10,2,2,1,2,1,4,2
"Strombus pugilis",18,7,5,4,18,1,7,1,5,1,4,1
"Symphodus melops",12,4,2,6,12,3,4,1,2,1,6,1
"Symphodus tinca",12,4,1,5,12,2,4,1,1,1,5,1
"Systellaspis debilis",70,31,10,19,70,3,31,3,10,2,19,2
"Thunnus thynnus",32,9,4,8,32,3,9,2,4,2,8,2
"Trachidermus fasciatus",3,2,1,3,3,2,2,2,1,1,3,2
"Uria aalge",51,13,6,13,51,7,13,3,6,3,13,3
"Uria lomvia",51,12,5,12,51,7,12,2,5,2,12,3
"Vampyroteuthis infernalis",62,34,12,19,62,2,34,2,12,1,19,2
"Zalophus wollebaeki",3,1,1,1,3,2,1,1,1,1,1,1
"Zebrasoma flavescens",23,12,3,7,23,2,12,2,3,2,7,2
"Zebrasoma scopas",57,23,5,12,57,4,23,3,5,2,12,3
"Zenarchopterus dunckeri",11,6,1,3,10,1,5,1,1,1,3,2
