"run_name","max.95.sea.gbif","max.100.sea.gbif","maxgenetic.sea","max.95.gcd.gbif","max.100.gcd.gbif","maxgenetic.gcd","ratio.sea.95","ratio.gcd.95","ratio.sea.100","ratio.gcd.100"
"bioprj_PRJDB7819_Fibramia-amboinensis",6694,9535,500,6548.16482062352,8840.03762240367,493.188931901571,0.0746937556020317,0.0753171224933537,0.0524383848977451,0.0557903657165058
"bioprj_PRJDB7819_Lutjanus-fulvus",14662,19859,505,14220.6485542998,19502.337303989,502.064340395635,0.034442777247306,0.035305305414065,0.0254292763986102,0.0257438035538921
"bioprj_PRJDB7819_Zenarchopterus-dunckeri",7156.19999999999,8050,175,6903.13865205338,7731.65663859762,167.060669648617,0.0244543193314888,0.0242006829167373,0.0217391304347826,0.0216073575764636
"bioprj_PRJNA170681_Nematostella-vectensis",3376,4446,1835,2400.08336220783,3661.73374381218,1816.7418993086,0.543542654028436,0.75694949930297,0.412730544309492,0.496142545147813
"bioprj_PRJNA210803_Pygoscelis-adeliae",6940,31303429040,5885,5749.81959112224,10133.6772354612,4717.93255296328,0.847982708933718,0.820535753895269,1.87998573334572e-07,0.465569648937863
"bioprj_PRJNA253681_Scomber-scombrus",7533,40046352254,2588,6339.71562917734,8400.07982344157,1121.20275514078,0.343555024558609,0.176853792933654,6.46251120098335e-08,0.13347525008178
"bioprj_PRJNA280774_Poecilia-latipinna",2173890269,4115749590,765,1788.80720502875,2615.9601813565,682.272536879274,3.51903686634516e-07,0.381412001786021,1.85871366386992e-07,0.260811514541281
"bioprj_PRJNA280898_Lagenorhynchus-acutus",5675,257435807,1765,5359.45512873411,14310.2912398311,1547.94199836821,0.311013215859031,0.288824509429904,6.85607810571588e-06,0.108169845911989
"bioprj_PRJNA280898_Lagenorhynchus-albirostris",5904,257427964,3416,5125.81878937055,7320.56869671644,3239.0544189392,0.578590785907859,0.631909662053611,1.32697316442281e-05,0.44245939805087
"bioprj_PRJNA281764_Homarus-americanus",1369,3704741790,632,1051.76450572622,2312.88271740402,629.333835308979,0.461650840029218,0.598360024399605,1.70592185859193e-07,0.272099328934129
"bioprj_PRJNA286089_Sphyrna-tiburo",20296,2173908489,1785,7350.67809252226,10497.6436841142,1027.10619503768,0.0879483642096965,0.139729448373279,8.2110172025737e-07,0.0978415943562624
"bioprj_PRJNA286949_Chlorostoma-funebralis",2003,24264400567,781,1821.72465503038,3457.8575212521,743.156149946337,0.389915127309036,0.407940984876193,3.21870716667187e-08,0.214918094623297
"bioprj_PRJNA294760_Amphiprion-bicinctus",5438,6098,3118,4961.3486377415,5749.83314591487,2650.32133709216,0.573372563442442,0.534193730497165,0.511315185306658,0.460938825498815
"bioprj_PRJNA295681_Anguilla-anguilla",4622175666,48893640248,158,3385.64471442826,11341.0838150103,118.415037195696,3.41830366081115e-08,0.0349756241967915,3.23150412197961e-09,0.0104412452219928
"bioprj_PRJNA295681_Anguilla-rostrata",34256612324,89971713630,34256611404,3347.21682802053,12568.6185780537,777.991749461027,0.999999973143871,0.232429444949079,0.380748682245589,0.0618995432655977
"bioprj_PRJNA311981_Engraulis-encrasicolus",8711,1478078735,2952,6059.67257442486,8517.16368335561,501.832980220943,0.338881873493284,0.0828151973654407,1.99718724726799e-06,0.0589201991270443
"bioprj_PRJNA314185_Gasterosteus-aculeatus",4622180266,31444594445,1764,9081.66671845386,12050.4682575411,1235.47926876795,3.81638079539151e-07,0.136041027167124,5.60986723198299e-08,0.102525415806543
"bioprj_PRJNA314732_Lateolabrax-maculatus",3215352796,3215354521,3014,3198.64143529113,3603.51506862377,2512.78773607502,9.37377697324384e-07,0.78557968653536,9.3737719443224e-07,0.697315728732248
"bioprj_PRJNA316872_Sebastes-rastrelliger",1004,2378,1302,955.503095130398,2226.0770640973,1207.19173853321,1.29681274900398,1.26340955323484,0.547518923465097,0.542295573681201
"bioprj_PRJNA319656_Seriola-lalandi-dorsalis",2272,3029,1600,1720.1683876816,2917.54132604906,1165.33407207561,0.704225352112676,0.677453486775336,0.528227137669198,0.399423330072826
"bioprj_PRJNA329407_Lutjanus-campechanus",2979,20832,624,2839.81066294428,6873.58145558853,609.110809084337,0.209466263846929,0.214489936611766,0.0299539170506912,0.088616220382331
"bioprj_PRJNA340157_Callinectes-sapidus",10611,1941880383,10249,8004.47743965384,9314.42684631593,8241.1980510723,0.965884459523136,1.02957352471827,5.2778740079584e-06,0.884777795461658
"bioprj_PRJNA340326_Placopecten-magellanicus",1349,38560018978,1934,1280.55876681667,2583.52461583739,1877.77391614305,1.43365455893254,1.46637074752219,5.01555769747785e-08,0.72682640785848
"bioprj_PRJNA343012_Aptenodytes-patagonicus",8271,32278165566,8174,7750.36734190826,13167.3158764894,7849.3370486987,0.988272276629186,1.01276967947768,2.53236200281779e-07,0.596122787842728
"bioprj_PRJNA343301_Oculina-patagonica",10306,11550,891,9530.66038634932,10908.0562751595,805.640140628916,0.0864544925286241,0.0845314078951787,0.0771428571428571,0.0738573509621115
"bioprj_PRJNA343959_Phocoena-phocoena",14090,41436800259,7790,8647.64917649731,13958.734029164,2786.06653328094,0.552874378992193,0.32217617486761,1.87997141461424e-07,0.199593066782418
"bioprj_PRJNA344385_Oculina-patagonica",10306,11550,891,9530.66038634932,10908.0562751595,805.640140628916,0.0864544925286241,0.0845314078951787,0.0771428571428571,0.0738573509621115
"bioprj_PRJNA348572_Zalophus-wollebaeki",260,396,279,222.17798592821,391.554419670885,244.671285151168,1.07307692307692,1.10123999967407,0.704545454545455,0.62487172372316
