"","run_acc_sra","x.orig","y.orig","initial.end.lon","initial.end.lat","end.lon","end.lat","total_dist_moved_km","wiggle_dist_moved_km","x","y"
"1","gbif1",126.60325,35.50073,126.456751250232,35.8370825173345,126.390072235599,35.8466098555021,42.9562866453603,6.11605628391492,126.390072235599,35.8466098555021
"2","gbif10",127.51853,34.45551,127.523615484349,34.6882861098653,127.523615484349,34.7795479807336,35.9499808123115,10.1242740345751,127.523615484349,34.7795479807336
"3","gbif11",127.73844,34.60901,127.523615484349,34.6882861098653,127.523615484349,34.7795479807336,27.3012648440939,10.1242740345751,127.523615484349,34.7795479807336
"4","gbif12",126.6328,36.96083,126.847934802742,36.9136717302705,126.723467308761,37.0470544646165,12.5176603917459,18.4911667155875,126.723467308761,37.0470544646165
"5","gbif13",126.6328,36.96083,126.847934802742,36.9136717302705,126.723467308761,37.0470544646165,12.5176603917459,18.4911667155875,126.723467308761,37.0470544646165
"6","gbif14",126.6328,36.96083,126.847934802742,36.9136717302705,126.723467308761,37.0470544646165,12.5176603917459,18.4911667155875,126.723467308761,37.0470544646165
"7","gbif15",126.6328,36.96083,126.847934802742,36.9136717302705,126.723467308761,37.0470544646165,12.5176603917459,18.4911667155875,126.723467308761,37.0470544646165
"8","gbif16",126.54963,36.44975,126.856825338026,36.8946170539354,126.723467308761,37.0470544646165,68.0787788241928,20.6689178361851,126.723467308761,37.0470544646165
"9","gbif17",126.490484,34.380681,126.456751250232,34.6795109299741,126.523430264864,34.7128566135606,36.9731463639741,7.14206503692972,126.523430264864,34.7128566135606
"10","gbif18",118.891667,42.291667,122.155954806446,40.781771026306,122.055936284497,40.715079659133,316.914608468206,11.2339279958149,122.055936284497,40.715079659133
"11","gbif19",130.512708,33.332478,130.435265789961,33.245646535754,130.39081311354,33.245646535754,14.8883445087962,4.14269617754854,130.39081311354,33.245646535754
"12","gbif2",126.60325,35.50073,126.456751250232,35.8370825173345,126.390072235599,35.8466098555021,42.9562866453603,6.11605628391492,126.390072235599,35.8466098555021
"13","gbif20",130.512708,33.332478,130.435265789961,33.245646535754,130.39081311354,33.245646535754,14.8883445087962,4.14269617754854,130.39081311354,33.245646535754
"14","gbif21",122.100437,30.017303,122.029482541367,29.9847438735405,122.189294313762,29.8443868099296,21.0004798304927,21.9144977234835,122.189294313762,29.8443868099296
"15","gbif22",121.22593,30.961346,121.443830541784,30.79941845904,121.522504167438,30.778065950352,34.8901392612729,7.89351043571988,121.522504167438,30.778065950352
"16","gbif23",121.22593,30.961346,121.443830541784,30.79941845904,121.522504167438,30.778065950352,34.8901392612729,7.89351043571988,121.522504167438,30.778065950352
"17","gbif24",121.22593,30.961346,121.443830541784,30.79941845904,121.522504167438,30.778065950352,34.8901392612729,7.89351043571988,121.522504167438,30.778065950352
"18","gbif25",121.22593,30.961346,121.443830541784,30.79941845904,121.522504167438,30.778065950352,34.8901392612729,7.89351043571988,121.522504167438,30.778065950352
"19","gbif3",126.60325,35.50073,126.456751250232,35.8370825173345,126.390072235599,35.8466098555021,42.9562866453603,6.11605628391492,126.390072235599,35.8466098555021
"20","gbif4",126.60325,35.50073,126.456751250232,35.8370825173345,126.390072235599,35.8466098555021,42.9562866453603,6.11605628391492,126.390072235599,35.8466098555021
"21","gbif5",126.60325,35.50073,126.456751250232,35.8370825173345,126.390072235599,35.8466098555021,42.9562866453603,6.11605628391492,126.390072235599,35.8466098555021
"22","gbif6",127.493059,34.491731,127.523615484349,34.6882861098653,127.523615484349,34.7795479807336,32.0515839104707,10.1242740345751,127.523615484349,34.7795479807336
"23","gbif7",127.493059,34.491731,127.523615484349,34.6882861098653,127.523615484349,34.7795479807336,32.0515839104707,10.1242740345751,127.523615484349,34.7795479807336
"24","gbif8",127.51853,34.45551,127.523615484349,34.6882861098653,127.523615484349,34.7795479807336,35.9499808123115,10.1242740345751,127.523615484349,34.7795479807336
"25","gbif9",127.48349,34.45886,NA,NA,NA,NA,NA,NA,127.48349,34.45886
