"","x","y","run_acc_sra","x.orig","y.orig"
"113",143.513333,40.006667,"gbif20",143.513333,40.006667
"114",-156.54,21.1556,"gbif200",-156.54,21.1556
"115",-78.98,32.03,"gbif201",-78.98,32.03
"116",-64.13,32.17,"gbif202",-64.13,32.17
"117",-89.7722,25.9826,"gbif203",-89.7722,25.9826
"118",-64.75,33,"gbif204",-64.75,33
"119",-67.475,39.933,"gbif205",-67.475,39.933
"120",-68.108,40.117,"gbif206",-68.108,40.117
"121",-63.67,31.85,"gbif207",-63.67,31.85
"122",-64,32.12,"gbif208",-64,32.12
"123",-86.9529,27.9649,"gbif209",-86.9529,27.9649
"124",142.543889,38.031667,"gbif21",142.543889,38.031667
"125",-63.7267,31.7083,"gbif210",-63.7267,31.7083
"126",-67.4321,39.785,"gbif211",-67.4321,39.785
"127",-124.33,40.78,"gbif212",-124.33,40.78
"128",-92.7249,26.6904,"gbif213",-92.7249,26.6904
"129",-67.383,39.833,"gbif214",-67.383,39.833
"130",-63.92,31.88,"gbif215",-63.92,31.88
"131",-65.4067,37.0433,"gbif216",-65.4067,37.0433
"132",-66.567,40.692,"gbif217",-66.567,40.692
"133",-67.425,39.908,"gbif218",-67.425,39.908
"134",-63.7,32.07,"gbif219",-63.7,32.07
"135",142.026944,38.941667,"gbif22",142.026944,38.941667
"136",-69.9694,39.5697,"gbif220",-69.9694,39.5697
"137",-63.6306,31.8,"gbif221",-63.6306,31.8
"138",-64.3,31.97,"gbif222",-64.3,31.97
"139",-59,25.75,"gbif223",-59,25.75
"140",-67.467,39.808,"gbif224",-67.467,39.808
"141",-19.68,4.63,"gbif225",-19.68,4.63
"142",-63.79,31.8567,"gbif226",-63.79,31.8567
"143",-90.3401,26.286,"gbif227",-90.3401,26.286
"144",-106.783,-67.95,"gbif228",-106.783,-67.95
"145",131.725,-48.85,"gbif229",131.725,-48.85
"146",142.166667,38.383333,"gbif23",142.166667,38.383333
"147",-68.092,40.042,"gbif230",-68.092,40.042
"148",-121.104736,30.459197,"gbif231",-121.104736,30.459197
"149",154.177,-32.83,"gbif232",154.177,-32.83
"150",148.75,-41.25,"gbif233",148.75,-41.25
"151",148.767,-41.222,"gbif234",148.767,-41.222
"152",148.797,-41.2155,"gbif235",148.797,-41.2155
"153",147.117,-44.2062,"gbif236",147.117,-44.2062
"154",150.852,-35.5052,"gbif237",150.852,-35.5052
"155",154.17,-3.83,"gbif238",154.17,-3.83
"156",151.4,-34.33,"gbif239",151.4,-34.33
"157",-61.266667,14.633333,"gbif24",-61.266667,14.633333
"158",150,-44,"gbif240",150,-44
"159",149.037,-42.0289,"gbif241",149.037,-42.0289
"160",150.15,-43.88,"gbif242",150.15,-43.88
"161",149.397,-38.5267,"gbif243",149.397,-38.5267
"162",120.412,-34.67,"gbif244",120.412,-34.67
"163",147.667,-12.7833,"gbif245",147.667,-12.7833
"164",145,-11.7667,"gbif246",145,-11.7667
"165",140.351,-38.2855,"gbif247",140.351,-38.2855
"166",149.259,-38.5022,"gbif248",149.259,-38.5022
"167",149.1,-42.1667,"gbif249",149.1,-42.1667
"168",33.316667,-29.7,"gbif25",33.316667,-29.7
"169",148.92,-12.63,"gbif250",148.92,-12.63
"170",148.93249,-43.04221,"gbif251",148.93249,-43.04221
"171",-96.923333,23.516667,"gbif252",-96.923333,23.516667
"172",-96.3,22.866667,"gbif253",-96.3,22.866667
"173",-96.425,23.593333,"gbif254",-96.425,23.593333
"174",-96.85,21.683333,"gbif255",-96.85,21.683333
"175",146.6195,-41.1338,"gbif256",146.6195,-41.1338
"176",146.6195,-41.1338,"gbif257",146.6195,-41.1338
"177",152.44166,-33.35,"gbif258",152.44166,-33.35
"178",150.52499,-37.433,"gbif259",150.52499,-37.433
"179",-132.920333,53.1815,"gbif26",-132.920333,53.1815
"180",153.00833,-33.016,"gbif260",153.00833,-33.016
"181",152.05,-34.183,"gbif261",152.05,-34.183
"182",153.083,-33.15,"gbif262",153.083,-33.15
"183",152.07499,-34.12499,"gbif263",152.07499,-34.12499
"184",152.033,-33.883,"gbif264",152.033,-33.883
"185",152.35,-33.49166,"gbif265",152.35,-33.49166
"186",153.133,-33.066,"gbif266",153.133,-33.066
"187",147.2132,-44.0855,"gbif267",147.2132,-44.0855
"188",147.2132,-44.0855,"gbif268",147.2132,-44.0855
"189",-117.61828,32.63531,"gbif269",-117.61828,32.63531
"190",-127.274333,49.432333,"gbif27",-127.274333,49.432333
"191",-117.65875,32.63611,"gbif270",-117.65875,32.63611
"192",-117.51811,32.63578,"gbif271",-117.51811,32.63578
"193",-117.48372,32.63311,"gbif272",-117.48372,32.63311
"194",-117.51344,32.63603,"gbif273",-117.51344,32.63603
"195",-158.3333,21.3333,"gbif274",-158.3333,21.3333
"196",-158.3333,21.3333,"gbif275",-158.3333,21.3333
"197",-125.2133,44.4764,"gbif276",-125.2133,44.4764
"198",-158.3333,21.3333,"gbif277",-158.3333,21.3333
"199",-158.3333,21.3333,"gbif278",-158.3333,21.3333
"200",-158.3333,21.3333,"gbif279",-158.3333,21.3333
"201",-9.48125,59.12861,"gbif28",-9.48125,59.12861
"202",-158.3333,21.3333,"gbif280",-158.3333,21.3333
"203",-125.2125,44.4742,"gbif281",-125.2125,44.4742
"204",-125.6133,44.6136,"gbif282",-125.6133,44.6136
"205",-87,4.75,"gbif283",-87,4.75
"206",-80.0333,25.575,"gbif284",-80.0333,25.575
"207",-124.8667,46,"gbif285",-124.8667,46
"208",-124.7333,46.2333,"gbif286",-124.7333,46.2333
"209",-124.9,45.8667,"gbif287",-124.9,45.8667
"210",-124.85,45.9333,"gbif288",-124.85,45.9333
"211",6,-27,"gbif289",6,-27
"212",-6.647805,-14.7627,"gbif29",-6.647805,-14.7627
"213",8,-2,"gbif290",8,-2
"214",10,-5,"gbif291",10,-5
"215",-88.333333,29.016667,"gbif292",-88.333333,29.016667
"216",-135.3721,55.744417,"gbif293",-135.3721,55.744417
"217",-168.479667,-24.732,"gbif294",-168.479667,-24.732
"218",123.322833,14.7775,"gbif295",123.322833,14.7775
"219",122.716167,17.620333,"gbif296",122.716167,17.620333
"220",122.993,16.002833,"gbif297",122.993,16.002833
"221",-67.44229,39.91645,"gbif298",-67.44229,39.91645
"222",-66.58333,40.7,"gbif299",-66.58333,40.7
"223",133.125,31.05,"gbif3",133.125,31.05
"224",-5.882954,-12.8531,"gbif30",-5.882954,-12.8531
"225",-67.45833,39.975,"gbif300",-67.45833,39.975
"226",122.71056,17.67875,"gbif301",122.71056,17.67875
"227",-178.850006,-35.583302,"gbif302",-178.850006,-35.583302
"228",164.533005,-45.849998,"gbif303",164.533005,-45.849998
"229",114.115997,-10.4,"gbif304",114.115997,-10.4
"230",114.115997,-10.4,"gbif305",114.115997,-10.4
"231",114.115997,-10.4,"gbif306",114.115997,-10.4
"232",114.115997,-10.4,"gbif307",114.115997,-10.4
"233",114.25,-10.4333,"gbif308",114.25,-10.4333
"234",93.1166,9.03333,"gbif309",93.1166,9.03333
"235",-5.549352,-15.8967,"gbif31",-5.549352,-15.8967
"236",93.1166,9.03333,"gbif310",93.1166,9.03333
"237",90.283302,15.9,"gbif311",90.283302,15.9
"238",86.533302,19.5,"gbif312",86.533302,19.5
"239",86.533302,19.5,"gbif313",86.533302,19.5
"240",76.283302,1,"gbif314",76.283302,1
"241",33.316601,-29.700001,"gbif315",33.316601,-29.700001
"242",33.316601,-29.700001,"gbif316",33.316601,-29.700001
"243",-67.548,39.9783,"gbif32",-67.548,39.9783
"244",-67.4321,39.785,"gbif33",-67.4321,39.785
"245",-67.3492,40.0896,"gbif34",-67.3492,40.0896
"246",-67.548,39.9783,"gbif35",-67.548,39.9783
"247",-108.818,23.6917,"gbif36",-108.818,23.6917
"248",-67.3492,40.0896,"gbif37",-67.3492,40.0896
"249",-67.7522,39.9256,"gbif38",-67.7522,39.9256
"250",-67.3492,40.0896,"gbif39",-67.3492,40.0896
"251",137.17,33.576667,"gbif4",137.17,33.576667
"252",-67.371,39.775,"gbif40",-67.371,39.775
"253",-67.7522,39.9256,"gbif41",-67.7522,39.9256
"254",-67.7522,39.9256,"gbif42",-67.7522,39.9256
"255",-67.7522,39.9256,"gbif43",-67.7522,39.9256
"256",-67.4653,40.0477,"gbif44",-67.4653,40.0477
"257",-67.4292,40.0646,"gbif45",-67.4292,40.0646
"258",175.2135,-42.715666,"gbif46",175.2135,-42.715666
"259",176.434333,-42.924333,"gbif47",176.434333,-42.924333
"260",-177.7435,-42.839833,"gbif48",-177.7435,-42.839833
"261",-177.5,-42.7,"gbif49",-177.5,-42.7
"262",136.3,28.4,"gbif5",136.3,28.4
"263",165.918167,-50.066833,"gbif50",165.918167,-50.066833
"264",-178.003,-42.4541,"gbif51",-178.003,-42.4541
"265",178.316667,-39.399667,"gbif52",178.316667,-39.399667
"266",-177.1167,-44.8,"gbif53",-177.1167,-44.8
"267",148.751495,-47.5005,"gbif54",148.751495,-47.5005
"268",-174.296334,-43.8965,"gbif55",-174.296334,-43.8965
"269",176.805333,-40.951833,"gbif56",176.805333,-40.951833
"270",175.8265,-42.966,"gbif57",175.8265,-42.966
"271",-178.5065,-31.450667,"gbif58",-178.5065,-31.450667
"272",178.7,-47.3,"gbif59",178.7,-47.3
"273",136.866667,31.4,"gbif6",136.866667,31.4
"274",174.597167,-42.910333,"gbif60",174.597167,-42.910333
"275",174.567,-42.924667,"gbif61",174.567,-42.924667
"276",171.6695,-34.80483,"gbif62",171.6695,-34.80483
"277",174.597167,-42.910333,"gbif63",174.597167,-42.910333
"278",-173.906333,-43.113833,"gbif64",-173.906333,-43.113833
"279",-73.6106,-17.4078,"gbif65",-73.6106,-17.4078
"280",-73.1014,-17.8211,"gbif66",-73.1014,-17.8211
"281",-71.3536,-23.3719,"gbif67",-71.3536,-23.3719
"282",-79.295,-10.9569,"gbif68",-79.295,-10.9569
"283",23.866667,-35.133333,"gbif69",23.866667,-35.133333
"284",128.983333,28.5,"gbif7",128.983333,28.5
"285",14.333333,-30,"gbif70",14.333333,-30
"286",25.419833,-34.572833,"gbif71",25.419833,-34.572833
"287",130.26,-34.0723,"gbif72",130.26,-34.0723
"288",149.5282,-38.4596,"gbif73",149.5282,-38.4596
"289",-66.994,39.86817,"gbif74",-66.994,39.86817
"290",-67.50748,39.96022,"gbif75",-67.50748,39.96022
"291",-67.4635,39.877,"gbif76",-67.4635,39.877
"292",-67.40633,39.8435,"gbif77",-67.40633,39.8435
"293",-66.91783,39.78817,"gbif78",-66.91783,39.78817
"294",-67.44067,39.84817,"gbif79",-67.44067,39.84817
"295",87.083333,-8.466667,"gbif8",87.083333,-8.466667
"296",-70.25733,39.59717,"gbif80",-70.25733,39.59717
"297",-70.26467,39.197,"gbif81",-70.26467,39.197
"298",-67.48168,39.84412,"gbif82",-67.48168,39.84412
"299",-67.03617,39.86367,"gbif83",-67.03617,39.86367
"300",-67.43967,39.84517,"gbif84",-67.43967,39.84517
"301",-67.45252,39.87568,"gbif85",-67.45252,39.87568
"302",-67.4285,39.96133,"gbif86",-67.4285,39.96133
"303",-67.34133,39.90533,"gbif87",-67.34133,39.90533
"304",-67.4045,39.84533,"gbif88",-67.4045,39.84533
"305",-67.33037,39.9605,"gbif89",-67.33037,39.9605
"306",109.5,-11.266667,"gbif9",109.5,-11.266667
"307",-67.32967,39.909,"gbif90",-67.32967,39.909
"308",-67.45038,39.84303,"gbif91",-67.45038,39.84303
"309",-21.01,20.9,"gbif92",-21.01,20.9
"310",-118.19417,32.62292,"gbif93",-118.19417,32.62292
"311",-178.005,-42.756833,"gbif94",-178.005,-42.756833
"312",-58.7647,43.7319,"gbif95",-58.7647,43.7319
"313",-59,43.3,"gbif96",-59,43.3
"314",-58.7647,43.847,"gbif97",-58.7647,43.847
"315",-67.407765,39.898525,"gbif98",-67.407765,39.898525
"316",-67.407765,39.898525,"gbif99",-67.407765,39.898525
